STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),lof_score,Normal
65,192.168.50.8,56531,631207,2,160,631207,1.032000,1
66,172.16.0.5,45935,621084,2,120,621084,43.316002,0
67,192.168.50.8,62338,693732,2,174,693732,1.023000,1
68,192.168.50.8,65283,600962,2,160,600962,0.998000,1
69,192.168.50.8,53461,648381,2,172,648381,1.028000,1
70,192.168.50.8,52983,699706,2,176,699706,1.160000,1
71,192.168.50.8,56022,576046,2,148,576046,1.061000,1
72,192.168.50.6,54800,150705075,6,440,30141015,1.019000,1
73,172.16.0.5,40119,2035378,4,240,678459,54.959999,0
74,172.16.0.5,47362,1509458,4,240,503152,7.496000,0
75,192.168.50.8,49985,735240,2,184,735240,0.983000,1
76,192.168.50.8,60944,695914,2,174,695914,0.991000,1
77,192.168.50.8,52859,582815,2,146,582815,0.976000,1
78,192.168.50.8,59601,101043101,24,4076,4393178,1.044000,1
79,192.168.50.6,54803,128417784,6,440,25683556,1.010000,1
80,192.168.50.8,60484,633894,2,158,633894,0.984000,1
81,172.16.0.5,43756,522741,2,148,522741,44.208000,0
82,172.16.0.5,57574,93683271,30,4746,3230457,16.459999,0
83,172.16.0.5,16054,98984982,36,5158,2828142,16.959999,0
84,172.16.0.5,41860,1410963834,36,2160,40313252,56.959999,0
85,172.16.0.5,32742,261692799,30,6342,9023889,51.959999,0
86,172.16.0.5,41077,1060247879,40,2400,27185843,16.959999,0
87,192.168.50.8,60926,1990235,4,332,663411,0.994000,1
88,172.16.0.5,58801,126581137,36,5062,3616603,0.460000,1
89,192.168.50.8,62421,687808,2,174,687808,1.082000,1
90,192.168.50.8,64358,703996,2,176,703996,1.015000,1
91,192.168.50.8,57018,606169,2,152,606169,1.043000,1
92,192.168.50.6,54802,130905715,6,440,26181143,0.994000,1
93,172.217.197.154,443,2644927,6,396,528985,1.015000,1
94,172.16.0.5,59346,2704445,6,412,540889,41.959999,0
95,172.16.0.5,53654,1435163,4,240,478387,38.104000,0
96,192.168.50.8,54056,686509,2,172,686509,1.006000,1
97,192.168.50.8,62093,696192,2,174,696192,0.977000,1
98,192.168.50.8,53546,1896181,4,316,632060,1.159000,1
99,172.16.0.5,41263,1427288,4,240,475762,0.708000,1
100,192.168.50.8,59600,309621790,24,3632,13461816,0.999000,1
101,192.168.50.8,59145,608348,2,152,608348,0.997000,1
102,34.209.30.112,443,3964747,8,580,566392,1.021000,1
103,172.16.0.5,44193,5759075,4,240,1919691,63.924000,0
104,192.168.50.8,60713,744391,2,186,744391,1.034000,1
105,54.192.55.39,443,1590212,4,264,530070,0.984000,1
106,52.85.90.206,443,118015300,14,7362,9078100,1.017000,1
107,172.16.0.5,40125,453462,2,120,453462,65.459999,0
108,172.16.0.5,44432,1369968,4,240,456656,54.995998,0
109,172.16.0.5,0,683378,2,164,683378,25.888000,0
110,172.16.0.5,59576,29609731,12,850,2691793,15.424000,0
111,172.16.0.5,43044,580850,2,148,580850,43.852001,0
112,172.16.0.5,57978,1445818,4,240,481939,1.568000,0
113,192.168.50.8,59593,41388621,6,388,8277724,1.019000,1
114,192.168.50.4,22,1684586487,544,125472,3102369,4.316000,0
115,192.168.50.9,48200,9268548,8,682,1324078,0.999000,1
116,172.16.0.5,52312,1700209438,47,2820,36961074,36.959999,0
117,192.168.50.6,54560,479103,2,120,479103,1.017000,1
118,192.168.50.8,61001,609675,2,152,609675,0.997000,1
119,192.168.50.8,56051,673008,2,166,673008,1.102000,1
120,192.168.50.8,52807,609564,2,154,609564,1.004000,1
121,172.16.0.5,45814,1493392,4,240,497797,56.959999,0
122,172.16.0.5,14557,50667373,14,1022,3897490,33.459999,0
123,192.168.50.8,55186,581690,2,146,581690,0.976000,1
124,172.16.0.5,27018,489408,2,120,489408,48.495998,0
125,172.16.0.5,11041,460984,2,120,460984,16.388000,0
126,172.16.0.5,51703,89314495,30,4666,3079810,16.459999,0
127,192.168.50.8,50301,2152262,4,368,717420,1.006000,1
128,192.168.50.9,46826,116965225,12,888,10633202,1.069000,1
129,192.168.50.6,54805,2341336,4,240,780445,1.029000,1
130,172.16.0.5,31151,93776306,28,4614,3473196,16.959999,0
131,172.16.0.5,43174,632107,2,120,632107,15.888000,0
132,192.168.50.8,59594,107769649,38,4902,2912693,1.012000,1
133,172.16.0.5,34195,165329223,28,4558,6123304,58.248001,0
134,192.168.50.8,59605,107758992,16,2640,7183932,0.978000,1
135,173.194.208.109,465,107708078,47,8757,2341479,0.981000,1
136,192.168.50.8,59596,24692072,4,252,8230690,1.028000,1
137,192.168.50.8,55151,584137,2,146,584137,1.054000,1
138,192.168.50.6,54804,121951120,6,440,24390224,0.994000,1
139,192.168.50.8,50816,0,1,74,0,1.199000,1
140,192.168.50.8,58889,577725,2,138,577725,0.997000,1
141,192.168.50.8,64535,650869,2,174,650869,1.005000,1
142,172.16.0.5,17369,100495519,36,5310,2871300,1.460000,0
143,192.168.50.8,51821,710366,2,178,710366,1.021000,1
144,172.16.0.5,42885,453861,2,120,453861,28.959999,0
145,192.168.50.8,55657,669545,2,166,669545,0.962000,1
146,35.158.163.158,443,1582516,4,264,527505,0.984000,1
147,172.16.0.5,52928,1438428,4,240,479476,29.068001,0
148,192.168.50.8,60360,670335,2,170,670335,1.027000,1
149,192.168.50.8,51666,713789,2,178,713789,1.000000,1
150,0.0.0.0,68,135930536,25,8550,5663772,1.080000,1
151,192.168.50.8,64858,577798,2,154,577798,1.004000,1
152,172.16.0.5,56993,1429067,4,240,476355,29.496000,0
153,192.168.50.8,58070,578837,2,146,578837,0.997000,1
154,172.16.0.5,25693,434146,2,120,434146,40.459999,0
155,192.168.50.8,55777,668577,2,170,668577,1.002000,1
156,192.168.50.8,55292,671069,2,168,671069,1.027000,1
157,172.16.0.5,56370,382489732,4,240,127496577,46.316002,0
158,192.168.50.9,57658,24801705,8,682,3543100,0.965000,1
159,52.28.108.167,443,4745479,8,528,677925,1.279000,1
