SrcIP,SrcPort,DstIP,DstPort,Proto,FlowDuration,FlowPktsPerSec,FlowBytesPerSec,FlowIATMean,PktLenMean,Label
192.168.50.8,61859,4.2.2.4,53,17,45,44444,3733333,45,84,0
192.0.73.2,80,192.168.50.6,54837,6,30057017,0,125,2312078,270,0
192.168.50.6,51724,4.2.2.4,53,17,11,181818,15272727,11,84,0
192.168.50.6,54824,74.208.236.171,80,6,8,250000,16500000,8,66,0
172.217.9.238,80,192.168.50.6,54805,6,39,51282,3076923,39,60,0
192.168.50.8,56531,4.2.2.4,53,17,9,222222,17777777,9,80,0
192.168.50.6,57821,4.2.2.4,53,17,24,83333,6166666,24,74,0
172.16.0.5,41077,192.168.50.4,9740,6,101746,39,2358,33915,60,0
192.168.50.8,59598,172.217.9.226,80,6,5402782,1,91,771826,61,0
192.168.50.6,61879,8.8.8.8,53,17,11,181818,14727272,11,81,0
192.168.50.6,52629,4.2.2.4,53,17,9,222222,18888888,9,85,0
192.168.50.8,52807,4.2.2.4,53,17,8,250000,19250000,8,77,0
192.168.50.6,54818,74.208.236.171,80,6,464702,21,3021,51633,140,0
192.168.50.9,60096,172.217.197.154,443,6,53888,148,12655,7698,85,0
192.168.50.8,59606,54.192.53.175,443,6,110630076,0,37,3160859,116,0
192.168.50.6,54822,72.21.91.29,80,6,99609596,0,35,3434813,118,0
192.168.50.6,63821,4.2.2.4,53,17,12,166666,11833333,12,71,0
192.168.50.8,60360,4.2.2.4,53,17,9,222222,18888888,9,85,0
192.168.50.6,52915,4.2.2.4,53,17,10,200000,16200000,10,81,0
192.168.50.6,54656,4.2.2.4,53,17,12,166666,13833333,12,83,0
192.168.50.8,57018,4.2.2.4,53,17,8,250000,19000000,8,76,0
192.168.50.6,54870,172.217.9.230,443,6,11,181818,12000000,11,66,0
172.16.0.5,52312,192.168.50.4,45389,6,155816,25,1540,51938,60,0
172.217.3.106,443,192.168.50.8,59601,6,76363267,0,182,1862518,332,0
192.168.50.6,50183,4.2.2.4,53,17,9,222222,17555555,9,79,0
172.217.9.226,80,192.168.50.8,59598,6,5362273,0,46,1787424,63,0
52.39.131.77,443,192.168.50.6,54819,6,61209987,0,131,2267036,287,0
54.192.53.175,443,192.168.50.8,59606,6,110633531,0,105,3253927,333,0
52.28.108.167,443,192.168.50.9,48208,6,25,160000,10560000,8,66,0
192.168.50.6,59077,4.2.2.4,53,17,24,83333,7166666,24,86,0
192.168.50.6,55740,4.2.2.4,53,17,26,153846,13692307,8,89,0
192.168.50.6,63128,4.2.2.4,53,17,8,250000,22250000,8,89,0
192.168.50.8,59011,4.2.2.4,53,17,9,222222,18888888,9,85,0
172.217.12.206,80,192.168.50.6,54852,6,91335942,0,65,3382812,214,0
192.168.50.6,54868,172.217.9.230,443,6,58380766,0,51,2780036,137,0
192.168.50.6,54819,52.39.131.77,443,6,61301198,0,70,1977458,135,0
192.168.50.8,58785,4.2.2.4,53,17,10,200000,16000000,10,80,0
192.168.50.6,60341,4.2.2.4,53,17,25,80000,6960000,25,87,0
172.217.9.226,443,192.168.50.6,54853,6,60462174,4,3592,205653,736,0
192.168.50.6,54849,172.217.9.226,443,6,59709901,0,73,1926125,136,0
192.168.50.6,53166,8.8.8.8,53,17,9,222222,20444444,9,92,0
192.168.50.6,54855,172.217.9.226,443,6,216762,92,13074,11408,141,0
192.168.50.8,59594,173.194.208.109,465,6,1643318,23,2982,44414,129,0
172.217.12.162,443,192.168.50.8,59611,6,59165100,0,131,1848909,235,0
172.16.0.5,27018,192.168.50.4,8888,6,25,80000,4800000,25,60,0
192.168.50.8,59596,74.208.236.171,80,6,5439500,1,90,777071,61,0
172.16.0.5,17369,192.168.50.4,22,6,10621730,3,499,303478,147,0
192.168.50.6,54882,23.194.177.32,443,6,90361809,0,65,1390181,90,0
192.168.50.6,55012,4.2.2.4,53,17,9,222222,16222222,9,73,0
192.168.50.6,58222,4.2.2.4,53,17,11,181818,16000000,11,88,0
172.217.12.206,80,192.168.50.6,54860,6,91504012,0,48,3660160,172,0
192.168.50.6,55847,4.2.2.4,53,17,10,200000,18400000,10,92,0
172.217.9.226,443,192.168.50.6,54856,6,222878,71,30267,14858,421,0
192.168.50.6,60667,4.2.2.4,53,17,9,222222,16444444,9,74,0
192.168.50.8,60651,4.2.2.4,53,17,10,200000,13400000,10,67,0
23.63.78.40,80,192.168.50.6,54815,6,100116112,0,33,3708004,118,0
192.168.50.6,58153,4.2.2.4,53,17,9,222222,26444444,9,119,0
72.21.91.29,80,192.168.50.6,54821,6,92421394,0,52,3696855,184,0
192.168.50.6,64624,8.8.8.8,53,17,9,222222,18000000,9,81,0
192.168.50.6,54861,172.217.12.206,80,6,91550995,0,38,3156930,117,0
192.168.50.8,59616,72.21.91.29,80,6,70295320,0,33,3056318,97,0
192.168.50.6,62285,8.8.8.8,53,17,10,200000,15600000,10,78,0
192.168.50.8,64612,4.2.2.4,53,17,8,250000,18250000,8,73,0
192.168.50.6,59219,4.2.2.4,53,17,9,222222,16444444,9,74,0
192.168.50.6,56371,4.2.2.4,53,17,10,200000,14600000,10,73,0
172.16.0.5,41860,192.168.50.4,8988,6,90320,44,2657,30106,60,0
192.168.50.8,61916,4.2.2.4,53,17,9,222222,16222222,9,73,0
192.168.50.6,58119,8.8.8.8,53,17,34,58823,5058823,34,86,0
192.168.50.8,52093,4.2.2.4,53,17,16,125000,10750000,16,86,0
192.168.50.6,65011,4.2.2.4,53,17,12,166666,11833333,12,71,0
192.168.50.8,59608,172.217.9.226,443,6,59273684,1,340,722849,242,0
192.168.50.8,58889,4.2.2.4,53,17,8,250000,17250000,8,69,0
192.168.50.8,51821,4.2.2.4,53,17,10,200000,17800000,10,89,0
192.168.50.8,55777,4.2.2.4,53,17,27,74074,6296296,27,85,0
192.168.50.6,64399,4.2.2.4,53,17,21,95238,6761904,21,71,0
192.168.50.6,63064,4.2.2.4,53,17,35,57142,4857142,35,85,0
192.168.50.6,54821,72.21.91.29,80,6,92421759,0,38,3186957,118,0
192.168.50.6,54834,74.208.236.171,80,6,8,250000,16500000,8,66,0
52.85.89.250,443,192.168.50.6,54877,6,90667997,0,206,2666705,533,0
192.168.50.8,53461,4.2.2.4,53,17,21,95238,8190476,21,86,0
192.168.50.8,53684,4.2.2.4,53,17,10,200000,14800000,10,74,0
192.168.50.8,60409,4.2.2.4,53,17,61,32786,2885245,61,88,0
192.168.50.8,59612,172.217.10.138,443,6,59130003,0,55,2365200,126,0
192.168.50.6,54862,172.217.12.206,80,6,91535089,0,38,3156382,117,0
192.168.50.6,54828,74.208.236.171,80,6,8,250000,16500000,8,66,0
172.217.12.206,80,192.168.50.6,54862,6,91534897,0,48,3661395,172,0
192.168.50.6,52533,4.2.2.4,53,17,19,105263,9157894,19,87,0
192.168.50.8,52621,4.2.2.4,53,17,28,71428,6000000,28,84,0
192.168.50.8,64360,4.2.2.4,53,17,10,200000,14600000,10,73,0
192.168.50.9,37312,23.194.108.29,443,6,23455,426,33681,2606,79,0
192.168.50.6,53885,4.2.2.4,53,17,10,200000,17400000,10,87,0
192.168.50.6,54843,74.208.236.171,80,6,10,200000,13200000,10,66,0
192.168.50.9,37652,54.192.55.39,443,6,39503,202,17264,5643,85,0
192.168.50.6,60341,8.8.8.8,53,17,12,166666,14500000,12,87,0
74.208.236.171,80,192.168.50.8,59595,6,15670728,1,1276,712305,869,0
192.168.50.6,64624,4.2.2.4,53,17,9,222222,18000000,9,81,0
192.168.50.8,58070,4.2.2.4,53,17,9,222222,16222222,9,73,0
172.217.12.193,443,192.168.50.8,59607,6,58983105,0,134,2184559,282,0
52.85.90.206,443,192.168.50.8,59605,6,58844160,0,104,3677760,360,0
172.217.9.226,443,192.168.50.6,54854,6,183368,87,36778,12224,421,0
172.217.12.206,80,192.168.50.6,54861,6,91551312,0,48,3662052,172,0
74.208.236.171,80,192.168.50.8,59596,6,5384590,0,46,1794863,63,0
192.168.50.8,55186,4.2.2.4,53,17,9,222222,16222222,9,73,0
192.168.50.8,59601,172.217.3.106,443,6,76403579,0,77,2064961,155,0
52.85.89.250,443,192.168.50.6,54879,6,90620773,0,281,2265519,622,0
192.168.50.6,54876,52.85.89.250,443,6,90652490,0,113,1486106,165,0
192.168.50.6,62014,4.2.2.4,53,17,10,200000,21400000,10,107,0
192.168.50.8,61172,4.2.2.4,53,17,8,250000,18500000,8,74,0
192.168.50.8,59614,172.217.12.162,443,6,98993362,0,71,2538291,177,0
192.168.50.8,55657,4.2.2.4,53,17,24,83333,6916666,24,83,0
192.168.50.6,54853,172.217.9.226,443,6,60524376,3,800,310381,247,0
172.217.9.226,443,192.168.50.6,54849,6,59647968,0,189,1656888,305,0
192.168.50.6,62431,8.8.8.8,53,17,37,54054,4540540,37,84,0
192.168.50.6,54800,172.217.7.2,443,6,36434650,0,12,7286930,73,0
172.217.6.234,443,192.168.50.6,54867,6,58447114,0,160,2015417,313,0
192.168.50.6,54837,192.0.73.2,80,6,30057070,0,52,2003804,99,0
192.168.50.9,46826,192.168.10.50,22,6,65028001,0,15,5002153,74,0
192.168.50.6,54825,74.208.236.171,80,6,9,222222,14666666,9,66,0
192.168.50.8,59610,172.217.9.230,443,6,59369985,1,246,507435,123,0
192.168.50.6,61210,4.2.2.4,53,17,9,222222,16222222,9,73,0
192.168.50.6,54885,172.217.12.206,80,6,40252067,0,45,2683471,114,0
192.168.50.6,54859,172.217.9.226,443,6,207578,96,13652,10925,141,0
192.168.50.8,53267,4.2.2.4,53,17,10,200000,18600000,10,93,0
192.168.50.8,61001,4.2.2.4,53,17,9,222222,16888888,9,76,0
192.168.50.6,54883,172.217.12.162,443,6,144550,124,18775,8502,150,0
192.168.50.6,54857,172.217.12.193,443,6,266018,75,10653,14000,141,0
192.168.50.6,58549,4.2.2.4,53,17,25,80000,7120000,25,89,0
192.168.50.6,54805,172.217.9.238,80,6,41252,96,5817,13750,60,0
72.21.91.29,80,192.168.50.6,54822,6,99613764,0,49,3689398,176,0
172.217.9.226,443,192.168.50.6,54859,6,166368,96,40536,11091,421,0
172.217.3.106,443,192.168.50.6,54884,6,313339,79,24136,13055,302,0
192.168.50.8,59383,4.2.2.4,53,17,23,86956,6434782,23,74,0
192.168.50.8,49687,4.2.2.4,53,17,138,14492,1217391,138,84,0
192.168.50.8,64858,4.2.2.4,53,17,8,250000,19250000,8,77,0
172.217.9.226,80,192.168.50.6,54848,6,5725334,0,44,1908444,63,0
192.168.50.8,55876,4.2.2.4,53,17,28,71428,6357142,28,89,0
192.168.50.6,52583,4.2.2.4,53,17,16,125000,10625000,16,85,0
192.168.50.8,54056,4.2.2.4,53,17,14,142857,12285714,14,86,0
192.168.50.6,54840,74.208.236.171,80,6,33,60606,4000000,33,66,0
173.194.208.109,465,192.168.50.8,59594,6,1643248,28,5329,35722,186,0
192.168.50.8,65283,4.2.2.4,53,17,9,222222,17777777,9,80,0
192.168.50.8,51052,4.2.2.4,53,17,9,222222,18666666,9,84,0
192.168.50.8,54224,4.2.2.4,53,17,36,55555,4888888,36,88,0
192.168.50.6,54359,4.2.2.4,53,17,11,181818,13454545,11,74,0
172.16.0.5,41263,192.168.50.4,63278,6,128794,31,1863,42931,60,0
192.168.50.6,54826,74.208.236.171,80,6,9,222222,14666666,9,66,0
192.168.50.8,49985,4.2.2.4,53,17,8,250000,23000000,8,92,0
192.168.50.8,52670,4.2.2.4,53,17,11,181818,14000000,11,77,0
52.34.248.21,443,192.168.50.6,54886,6,40639113,0,188,1766917,318,0
192.168.50.8,59599,172.217.9.226,443,6,61365767,0,114,1859568,205,0
192.168.50.6,51314,4.2.2.4,53,17,9,222222,16888888,9,76,0
192.168.50.6,60391,4.2.2.4,53,17,15,133333,10800000,15,81,0
192.168.50.8,52859,4.2.2.4,53,17,8,250000,18250000,8,73,0
192.168.50.6,54815,23.63.78.40,80,6,100112157,0,29,3452143,99,0
192.168.50.6,54831,74.208.236.171,80,6,9,222222,14666666,9,66,0
192.168.50.6,60512,4.2.2.4,53,17,64,31250,2375000,64,76,0
192.168.50.6,56876,4.2.2.4,53,17,10,200000,15400000,10,77,0
52.85.89.250,443,192.168.50.6,54880,6,90620924,0,203,2665321,526,0
192.168.50.6,54850,172.217.9.226,443,6,274495,72,10324,14447,141,0
72.167.239.239,80,192.168.50.6,54866,6,68701,160,63754,6870,398,0
192.168.50.8,64358,4.2.2.4,53,17,9,222222,19555555,9,88,0
192.168.50.6,51348,4.2.2.4,53,17,9,222222,17111111,9,77,0
192.168.50.8,62421,4.2.2.4,53,17,26,76923,6692307,26,87,0
192.168.50.8,50492,4.2.2.4,53,17,16,125000,10750000,16,86,0
192.168.50.8,62834,4.2.2.4,53,17,17,117647,9294117,17,79,0
192.168.50.6,61205,4.2.2.4,53,17,12,166666,14000000,12,84,0
192.168.50.6,54823,74.208.236.171,80,6,9,222222,14666666,9,66,0
192.168.50.9,57658,35.158.163.158,443,6,107529,74,6342,15361,85,0
192.168.50.6,57622,4.2.2.4,53,17,10,200000,16400000,10,82,0
192.168.50.6,54863,172.217.12.206,80,6,5198703,1,94,742671,61,0
172.217.9.230,443,192.168.50.6,54869,6,59306038,1,1818,575786,1036,0
192.168.50.6,54856,172.217.9.226,443,6,263670,75,10748,13877,141,0
192.168.50.6,49363,8.8.8.8,53,17,15,133333,11333333,15,85,0
192.168.50.6,54829,74.208.236.171,80,6,9,222222,14666666,9,66,0
192.168.50.6,54801,172.217.10.98,443,6,36434528,0,12,7286905,73,0
31.13.71.2,443,192.168.50.6,54875,6,58189068,0,139,2529959,339,0
172.217.3.100,443,192.168.50.8,59609,6,58515685,0,115,2438153,270,0
192.168.50.6,53406,4.2.2.4,53,17,8,250000,21250000,8,85,0
192.168.50.6,62301,4.2.2.4,53,17,10,200000,16800000,10,84,0
192.168.50.8,61627,4.2.2.4,53,17,30,66666,4466666,30,67,0
172.217.9.226,443,192.168.50.8,59600,6,59329945,0,193,1695141,318,0
192.168.50.6,54874,172.217.12.162,443,6,24,83333,5500000,24,66,0
192.168.50.6,55971,4.2.2.4,53,17,9,222222,17777777,9,80,0
192.168.50.6,50362,4.2.2.4,53,17,9,222222,19777777,9,89,0
192.168.50.6,54836,192.0.73.2,80,6,30057069,0,52,2003804,99,0
192.168.50.8,55292,4.2.2.4,53,17,23,86956,7304347,23,84,0
192.168.50.6,54820,34.213.240.161,443,6,523303,103,22552,9873,218,0
52.85.89.250,443,192.168.50.6,54876,6,90652179,0,1010,1030138,1029,0
192.168.50.6,54841,172.217.12.163,443,6,9,222222,14666666,9,66,0
192.168.50.8,55174,4.2.2.4,53,17,9,222222,18000000,9,81,0
192.168.50.8,52762,4.2.2.4,53,17,9,222222,16888888,9,76,0
192.168.50.8,62370,4.2.2.4,53,17,20,100000,8200000,20,82,0
192.168.50.8,53808,4.2.2.4,53,17,19,105263,9263157,19,88,0
192.168.50.8,60215,4.2.2.4,53,17,29,68965,5862068,29,85,0
74.208.236.171,80,192.168.50.6,54844,6,5747445,0,43,1915815,63,0
192.168.50.8,59595,74.208.236.171,80,6,15671124,1,129,824796,101,0
192.168.50.8,60926,4.2.2.4,53,17,26,153846,12769230,8,83,0
192.168.50.8,59609,172.217.3.100,443,6,58556886,0,93,2168773,195,0
192.168.50.8,53345,4.2.2.4,53,17,9,222222,17555555,9,79,0
192.168.50.6,50158,4.2.2.4,53,17,8,250000,21250000,8,85,0
192.168.50.6,58119,4.2.2.4,53,17,17,117647,10117647,17,86,0
74.208.236.171,80,192.168.50.6,54814,6,663416,42,45066,24570,1067,0
192.168.50.6,54830,74.208.236.171,80,6,9,222222,14666666,9,66,0
192.168.50.6,62514,4.2.2.4,53,17,26,76923,5692307,26,74,0
192.168.50.8,59843,4.2.2.4,53,17,9,222222,18444444,9,83,0
54.243.214.170,443,192.168.50.6,54865,6,91180254,1,1307,844261,1093,0
172.217.12.193,443,192.168.50.6,54857,6,225227,71,31577,15015,444,0
192.168.50.6,57346,4.2.2.4,53,17,9,222222,17111111,9,77,0
192.168.50.8,60497,4.2.2.4,53,17,9,222222,16666666,9,75,0
192.168.50.4,22,172.16.0.5,17369,6,10227464,4,716,249450,174,0
192.168.50.6,53212,4.2.2.4,53,17,9,222222,18000000,9,81,0
192.168.50.8,56051,4.2.2.4,53,17,9,222222,18444444,9,83,0
192.168.50.6,54845,74.208.236.171,80,6,5801352,1,84,828764,61,0
192.168.50.6,51640,4.2.2.4,53,17,10,200000,17000000,10,85,0
192.168.50.6,54860,172.217.12.206,80,6,91504283,0,38,3155320,117,0
192.168.50.6,61879,4.2.2.4,53,17,62,64516,5225806,20,81,0
192.168.50.6,49752,4.2.2.4,53,17,9,222222,19111111,9,86,0
192.168.50.6,51518,4.2.2.4,53,17,9,222222,18666666,9,84,0
192.168.50.6,49363,4.2.2.4,53,17,12,166666,14166666,12,85,0
192.168.50.8,59605,52.85.90.206,443,6,59093435,0,50,3110180,148,0
192.168.50.8,52983,4.2.2.4,53,17,9,222222,19555555,9,88,0
192.168.50.8,55151,4.2.2.4,53,17,10,200000,14600000,10,73,0
192.168.50.8,59613,172.217.12.206,80,6,100531790,0,25,3723399,91,0
192.168.50.6,54835,172.217.6.234,443,6,9,222222,14666666,9,66,0
192.168.50.6,61531,4.2.2.4,53,17,9,222222,16888888,9,76,0
192.168.50.6,54873,172.217.12.163,443,6,10,200000,13200000,10,66,0
192.168.50.6,52308,4.2.2.4,53,17,16,125000,9625000,16,77,0
192.168.50.6,55346,4.2.2.4,53,17,17,117647,9411764,17,80,0
192.168.50.8,61889,4.2.2.4,53,17,8,250000,19250000,8,77,0
172.217.12.162,443,192.168.50.8,59614,6,98951929,0,96,2248907,212,0
192.168.50.6,63587,4.2.2.4,53,17,9,222222,18222222,9,82,0
192.168.50.3,0,192.168.50.4,0,1,269802438,5,490,200001,98,0
192.168.50.6,54867,172.217.6.234,443,6,58509273,0,92,2017561,180,0
192.168.50.6,53166,4.2.2.4,53,17,9,222222,20444444,9,92,0
192.168.50.6,54852,172.217.12.206,80,6,91336159,0,50,2767762,136,0
192.168.50.8,60713,4.2.2.4,53,17,8,250000,23250000,8,93,0
192.168.50.8,59600,172.217.9.226,443,6,59371000,0,68,2047275,136,0
192.168.50.8,50301,4.2.2.4,53,17,28,142857,13142857,9,92,0
192.168.50.6,54839,74.208.236.171,80,6,255291,62,10309,17019,164,0
192.168.50.6,54854,172.217.9.226,443,6,223966,89,12653,11787,141,0
192.168.50.6,54799,172.217.10.98,443,6,36435479,0,12,7287095,73,0
192.168.50.8,57360,4.2.2.4,53,17,35,57142,4971428,35,87,0
192.168.50.8,56121,4.2.2.4,53,17,9,222222,18222222,9,82,0
52.88.72.192,443,192.168.50.8,59615,6,61160106,0,132,2265189,289,0
52.85.89.250,443,192.168.50.6,54878,6,90621025,0,242,2449216,579,0
72.21.91.29,80,192.168.50.8,59616,6,70295374,0,64,3347398,206,0
192.168.50.8,49641,4.2.2.4,53,17,7,285714,21142857,7,74,0
192.168.50.6,63203,4.2.2.4,53,17,10,200000,23800000,10,119,0
192.168.50.6,59354,4.2.2.4,53,17,10,200000,16800000,10,84,0
192.168.50.6,60695,4.2.2.4,53,17,21,95238,6380952,21,67,0
192.168.50.6,54865,54.243.214.170,443,6,91180093,0,211,1284226,267,0
192.168.50.6,54887,192.168.10.50,22,6,3013985,1,87,1004661,66,0
192.168.50.8,50816,4.2.2.4,53,17,42,47619,3523809,42,74,0
192.168.50.6,56066,4.2.2.4,53,17,10,200000,18400000,10,92,0
192.168.50.6,54838,74.208.236.171,80,6,284721,56,8857,18981,157,0
74.208.236.171,80,192.168.50.6,54839,6,200096,59,29345,18190,489,0
192.168.50.6,51640,8.8.8.8,53,17,10,200000,17000000,10,85,0
192.168.50.8,60944,4.2.2.4,53,17,20,100000,8700000,20,87,0
192.168.50.6,54347,4.2.2.4,53,17,11,181818,13090909,11,72,0
192.168.50.6,53212,8.8.8.8,53,17,9,222222,18000000,9,81,0
172.16.0.5,30500,192.168.50.4,22,6,9713546,3,546,277529,147,0
0.0.0.0,68,255.255.255.255,67,17,232577810,0,38,9303112,342,0
192.168.50.6,54872,172.217.12.162,443,6,50503452,2,682,385522,261,0
192.168.50.6,65408,4.2.2.4,53,17,9,222222,20444444,9,92,0
54.192.55.39,443,192.168.50.9,37652,6,327,12232,807339,109,66,0
93.184.216.180,443,192.168.50.9,41488,6,432,13888,1027777,86,74,0
52.85.89.250,443,192.168.50.6,54881,6,90620961,0,224,2449215,534,0
172.217.12.206,80,192.168.50.6,54863,6,5157310,0,48,1719103,63,0
192.168.50.6,52437,4.2.2.4,53,17,12,166666,14500000,12,87,0
192.168.50.6,54804,172.217.12.206,443,6,34425810,0,12,6885162,73,0
192.168.50.8,59261,4.2.2.4,53,17,30,66666,4866666,30,73,0
172.16.0.5,52312,192.168.50.4,51989,6,169817,23,1413,56605,60,0
192.168.50.6,52929,4.2.2.4,53,17,10,200000,17400000,10,87,0
192.168.50.6,55038,8.8.8.8,53,17,9,222222,19333333,9,87,0
172.217.9.230,443,192.168.50.8,59610,6,59120556,2,2765,362702,996,0
192.168.50.6,63203,8.8.8.8,53,17,10,200000,23800000,10,119,0
192.168.50.8,63848,4.2.2.4,53,17,10,200000,16600000,10,83,0
192.168.50.6,50512,4.2.2.4,53,17,10,200000,16600000,10,83,0
192.168.50.6,54844,74.208.236.171,80,6,5802465,1,84,828923,61,0
192.168.50.6,54869,172.217.9.230,443,6,59371629,1,144,886143,126,0
23.194.108.29,443,192.168.50.9,37312,6,956,6276,479079,191,76,0
192.168.50.6,54848,172.217.9.226,80,6,5766504,1,85,823786,61,0
35.158.163.158,443,192.168.50.9,57658,6,68,58823,3882352,22,66,0
192.168.50.6,61988,4.2.2.4,53,17,10,200000,15400000,10,77,0
52.28.108.167,443,192.168.50.9,48200,6,30,133333,8800000,10,66,0
192.168.50.6,54881,52.85.89.250,443,6,90620926,0,67,2589169,169,0
192.168.50.6,58734,4.2.2.4,53,17,24,83333,6416666,24,77,0
192.168.50.8,59593,192.168.10.50,21,6,9029080,0,42,1805816,64,0
172.16.0.5,46769,192.168.50.4,445,6,60,33333,2000000,60,60,0
172.16.0.5,41077,192.168.50.4,10753,6,102985,38,2330,34328,60,0
172.217.10.138,443,192.168.50.8,59612,6,59088963,0,122,2569085,300,0
172.217.9.226,443,192.168.50.8,59597,6,59329708,0,196,1695134,324,0
192.168.50.6,54851,172.217.12.206,80,6,91648803,0,61,2618537,155,0
192.168.50.6,60894,4.2.2.4,53,17,9,222222,18000000,9,81,0
172.217.9.226,443,192.168.50.6,54855,6,178651,83,31485,12760,375,0
192.168.50.8,64535,4.2.2.4,53,17,25,80000,6960000,25,87,0
192.168.50.6,61322,4.2.2.4,53,17,10,200000,14200000,10,71,0
