SrcIP,SrcPort,DstIP,DstPort,Proto,Feature0,Feature1,Feature2,Feature3,Feature4,Label
192.168.50.6,52437,4.2.2.4,53,17,3.625000,17.282349,23.671402,3.625000,6.359375,0
172.217.9.226,443,192.168.50.6,54853,6,25.801931,2.297030,5.335976,17.653494,9.504700,0
192.168.50.8,53684,4.2.2.4,53,17,3.625000,17.282349,23.477686,3.625000,6.156250,0
172.217.9.230,443,192.168.50.8,59610,6,25.761946,1.459949,2.330468,18.488508,9.966171,0
192.168.50.8,59596,74.208.236.171,80,6,22.296894,0.610456,6.535950,19.546894,5.921875,0
192.168.50.4,22,172.16.0.5,30500,6,23.110865,2.081228,8.175773,17.892115,7.473145,0
192.168.50.8,62338,4.2.2.4,53,17,3.750000,17.157349,23.546402,3.750000,6.359375,0
172.217.6.234,443,192.168.50.6,54867,6,25.741877,255.046265,3.748361,20.929377,8.271240,0
192.168.50.6,62014,4.2.2.4,53,17,3.500000,17.407349,24.094425,3.500000,6.671875,0
74.208.236.171,80,192.168.50.6,54845,6,22.369986,255.537369,5.507561,20.869986,5.968750,0
192.168.50.8,53345,4.2.2.4,53,17,3.500000,17.407349,23.677193,3.500000,6.234375,0
192.168.50.8,59599,172.217.9.226,443,6,25.828859,255.184418,5.429839,20.797609,7.645996,0
192.168.50.8,59597,172.217.9.226,443,6,25.769381,255.018753,6.133311,20.956881,7.120117,0
192.168.50.6,54834,74.208.236.171,80,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
192.168.50.6,55038,4.2.2.4,53,17,3.500000,17.407349,23.796402,3.500000,6.359375,0
52.34.248.21,443,192.168.50.6,54886,6,24.217768,255.974319,7.230920,20.030268,8.558105,0
192.168.50.6,63203,4.2.2.4,53,17,3.500000,17.407349,24.273239,3.500000,6.859375,0
192.168.50.6,54560,54.213.45.184,443,6,4.562500,16.344849,22.225639,4.562500,5.875000,0
192.168.50.6,51724,4.2.2.4,53,17,3.500000,17.407349,23.751698,3.500000,6.312500,0
192.168.50.6,54830,74.208.236.171,80,6,3.625000,17.282349,23.341953,3.625000,6.031250,0
192.168.50.6,61531,4.2.2.4,53,17,3.000000,17.907349,24.132488,3.000000,6.187500,0
192.168.50.6,61322,4.2.2.4,53,17,3.625000,17.282349,23.432983,3.625000,6.109375,0
192.168.50.8,59200,4.2.2.4,53,17,3.625000,17.282349,23.641598,3.625000,6.328125,0
192.168.50.6,54835,172.217.6.234,443,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
192.168.50.6,54802,172.217.10.65,443,6,25.026253,253.404251,3.612875,22.776253,6.218750,0
192.168.50.6,54821,72.21.91.29,80,6,26.227716,254.441208,5.368570,21.540216,6.923828,0
192.168.50.8,62834,4.2.2.4,53,17,4.062500,16.844849,23.114693,4.062500,6.234375,0
192.168.50.6,50183,4.2.2.4,53,17,3.625000,17.282349,23.552193,3.625000,6.234375,0
34.209.30.112,443,192.168.50.8,59555,6,17.036270,5.871078,12.044064,14.286270,6.132812,0
192.168.50.9,48208,52.28.108.167,443,6,16.538498,6.368851,12.731826,13.788498,6.332031,0
192.168.50.8,58785,4.2.2.4,53,17,3.750000,17.157349,23.442093,3.750000,6.250000,0
172.217.9.226,443,192.168.50.6,54854,6,17.399170,6.508179,13.741250,13.524170,8.646484,0
23.194.177.32,443,192.168.50.6,54882,6,26.197020,0.069579,4.986095,19.884520,10.152435,0
192.168.50.6,55740,4.2.2.4,53,17,5.750000,16.157349,22.576202,4.250000,6.390625,0
23.63.78.40,80,192.168.50.6,54815,6,26.192360,254.238144,5.226975,21.754860,6.988281,0
192.168.50.6,61879,8.8.8.8,53,17,3.625000,17.282349,23.581993,3.625000,6.265625,0
172.217.12.206,80,192.168.50.6,54851,6,26.215965,254.452972,5.220615,21.528465,8.051758,0
192.168.50.6,54885,172.217.12.206,80,6,24.800352,254.868576,5.794071,21.175352,6.921875,0
52.85.90.206,443,192.168.50.8,59604,6,16.376373,7.292557,15.051826,12.751373,9.047363,0
172.217.9.226,80,192.168.50.8,59598,6,22.278481,255.628876,5.599066,20.778481,5.968750,0
192.168.50.6,59889,4.2.2.4,53,17,3.625000,17.282349,23.492588,3.625000,6.171875,0
192.168.50.6,54803,172.217.7.2,443,6,25.026249,253.404266,3.612879,22.776249,6.218750,0
192.168.50.6,63064,8.8.8.8,53,17,4.125000,16.782349,23.141598,4.125000,6.328125,0
192.168.50.6,54804,172.217.12.206,443,6,25.025970,253.404541,3.613157,22.775970,6.218750,0
192.168.50.8,60651,4.2.2.4,53,17,3.625000,17.282349,23.371756,3.625000,6.046875,0
192.168.50.8,49985,4.2.2.4,53,17,3.500000,17.407349,23.870907,3.500000,6.437500,0
192.168.50.8,59606,54.192.53.175,443,6,26.349125,254.558228,5.493032,21.411625,6.931641,0
52.39.131.77,443,192.168.50.6,54819,6,25.824217,254.844711,5.921563,21.136717,8.213867,0
192.168.50.6,54854,172.217.9.226,443,6,17.708778,6.483315,13.610906,13.521278,7.133789,0
192.168.50.6,54864,172.217.3.100,443,6,25.752661,0.095083,4.568977,19.846411,7.808594,0
54.192.55.39,443,192.168.50.9,37652,6,8.226562,13.680786,19.740391,6.726562,6.031250,0
192.168.50.8,59605,52.85.90.206,443,6,25.761137,254.430954,5.617220,21.573637,7.195312,0
192.168.50.6,54829,74.208.236.171,80,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
192.168.50.8,53808,4.2.2.4,53,17,3.875000,17.032349,23.436302,3.875000,6.375000,0
192.168.50.6,51640,4.2.2.4,53,17,3.875000,17.032349,23.391598,3.875000,6.328125,0
192.168.50.6,54842,172.217.12.163,443,6,3.625000,17.282349,23.341953,3.625000,6.031250,0
192.168.50.6,54879,52.85.89.250,443,6,26.200653,254.991440,2.935683,20.981903,7.873047,0
52.28.108.167,443,192.168.50.9,48200,6,4.875000,17.032349,23.091953,3.375000,6.031250,0
52.85.89.250,443,192.168.50.6,54881,6,26.200647,254.872238,5.200122,21.106897,9.107178,0
192.168.50.6,53166,4.2.2.4,53,17,3.625000,17.282349,23.745907,3.625000,6.437500,0
192.168.50.9,37652,54.192.55.39,443,6,15.203796,7.703552,14.066527,12.453796,6.332031,0
192.168.50.9,48200,52.28.108.167,443,6,16.527649,6.379700,12.742675,13.777649,6.332031,0
192.168.50.6,62301,4.2.2.4,53,17,3.625000,17.282349,23.626698,3.625000,6.312500,0
72.167.239.239,80,192.168.50.6,54866,6,16.048264,7.263039,10.218822,12.798264,8.694336,0
192.168.50.8,65282,4.2.2.4,53,17,5.062500,15.844849,22.129593,5.062500,6.250000,0
192.168.50.6,54831,74.208.236.171,80,6,3.750000,17.157349,23.216953,3.750000,6.031250,0
192.168.50.6,54801,172.217.10.98,443,6,25.085835,253.344681,3.553294,22.835835,6.218750,0
192.168.50.8,64555,4.2.2.4,53,17,3.375000,17.532349,23.921402,3.375000,6.359375,0
192.168.50.6,54837,192.0.73.2,80,6,24.791559,255.115784,5.685519,20.916559,6.548828,0
172.217.9.226,443,192.168.50.8,59600,6,25.768187,255.304703,5.573880,20.674437,8.275391,0
54.243.214.170,443,192.168.50.6,54865,6,26.208515,0.385909,5.248484,19.552265,10.145340,0
192.168.50.8,59608,172.217.9.226,443,6,25.766510,0.470286,5.620756,19.485260,7.933533,0
74.208.236.171,80,192.168.50.6,54814,6,19.265387,5.403543,12.656955,14.577887,10.074829,0
192.168.50.6,58549,4.2.2.4,53,17,3.500000,17.407349,23.826202,3.500000,6.390625,0
192.168.50.6,61205,4.2.2.4,53,17,3.375000,17.532349,23.876698,3.375000,6.312500,0
74.208.236.171,80,192.168.50.6,54838,6,17.750595,5.799126,10.156998,14.250595,8.486084,0
192.168.50.8,59383,4.2.2.4,53,17,5.531250,15.376099,21.571436,5.531250,6.156250,0
23.194.108.29,443,192.168.50.9,37312,6,9.890625,12.539886,18.815557,7.640625,6.289062,0
192.168.50.6,54838,74.208.236.171,80,6,18.086140,5.821209,13.088258,14.211140,7.231445,0
192.168.50.6,53885,4.2.2.4,53,17,3.625000,17.282349,23.671402,3.625000,6.359375,0
192.168.50.8,59594,173.194.208.109,465,6,20.567223,4.565265,8.563463,15.410974,7.009277,0
172.16.0.5,30500,192.168.50.4,22,6,23.157953,1.914931,6.732693,18.064203,7.171387,0
192.168.50.8,62298,4.2.2.4,53,17,3.250000,17.657349,23.852686,3.250000,6.156250,0
192.168.50.6,54863,172.217.12.206,80,6,22.239483,0.667865,6.593359,19.489483,5.921875,0
192.168.50.6,64624,8.8.8.8,53,17,3.500000,17.407349,23.706993,3.500000,6.265625,0
192.168.50.6,60341,4.2.2.4,53,17,3.875000,17.032349,23.421402,3.875000,6.359375,0
192.168.50.8,60713,4.2.2.4,53,17,3.375000,17.532349,24.010807,3.375000,6.453125,0
192.168.50.6,54858,172.217.12.193,443,6,25.771696,254.539612,5.631807,21.459196,7.096680,0
192.168.50.6,62431,4.2.2.4,53,17,3.625000,17.282349,23.626698,3.625000,6.312500,0
192.168.50.8,55876,4.2.2.4,53,17,4.062500,16.844849,23.263702,4.062500,6.390625,0
192.168.50.6,58119,4.2.2.4,53,17,4.125000,16.782349,23.156500,4.125000,6.343750,0
172.16.0.5,52312,192.168.50.4,45389,6,17.188744,4.718605,10.599396,15.688744,5.875000,0
192.168.50.6,55971,8.8.8.8,53,17,4.187500,16.719849,23.004593,4.187500,6.250000,0
192.168.50.8,52983,4.2.2.4,53,17,3.625000,17.282349,23.686302,3.625000,6.375000,0
192.168.50.8,59611,172.217.12.162,443,6,25.764505,254.904419,5.171745,21.077005,7.806152,0
192.168.50.6,49363,8.8.8.8,53,17,3.500000,17.407349,23.766598,3.500000,6.328125,0
192.168.50.6,57821,4.2.2.4,53,17,3.625000,17.282349,23.477686,3.625000,6.156250,0
192.168.50.6,55971,4.2.2.4,53,17,3.500000,17.407349,23.692093,3.500000,6.250000,0
192.168.50.8,59607,172.217.12.193,443,6,25.765385,255.022751,4.518940,20.952885,7.510254,0
192.168.50.6,54799,172.217.10.98,443,6,25.085865,253.344650,3.553263,22.835865,6.218750,0
192.168.50.6,60614,4.2.2.4,53,17,4.062500,16.844849,23.189198,4.062500,6.312500,0
192.168.50.8,58070,4.2.2.4,53,17,4.500000,16.407349,22.587784,4.500000,6.140625,0
172.217.12.206,80,192.168.50.6,54860,6,26.213808,254.216705,255.247482,21.776308,7.560547,0
74.208.236.171,80,192.168.50.6,54818,6,18.561954,3.868557,9.823853,16.311954,5.953125,0
172.16.0.5,41077,192.168.50.4,10753,6,16.571381,5.335968,11.216759,15.071381,5.875000,0
192.168.50.6,63893,4.2.2.4,53,17,3.500000,17.407349,23.602686,3.500000,6.156250,0
192.168.50.6,52629,4.2.2.4,53,17,3.500000,17.407349,23.766598,3.500000,6.328125,0
192.168.50.6,54825,74.208.236.171,80,6,3.625000,17.282349,23.341953,3.625000,6.031250,0
192.168.50.8,53546,4.2.2.4,53,17,5.031250,16.876099,23.145943,3.531250,6.234375,0
192.168.50.8,55657,4.2.2.4,53,17,3.625000,17.282349,23.611797,3.625000,6.296875,0
192.168.50.8,50492,4.2.2.4,53,17,5.656250,15.251099,21.625250,5.656250,6.343750,0
192.168.50.6,54818,74.208.236.171,80,6,18.772709,4.419384,11.534868,15.647709,7.121094,0
192.168.50.6,54832,74.208.236.171,80,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
192.168.50.8,59604,52.85.90.206,443,6,16.979736,7.212357,14.370682,12.792236,7.166016,0
192.168.50.6,60341,8.8.8.8,53,17,3.625000,17.282349,23.671402,3.625000,6.359375,0
192.168.50.8,64535,4.2.2.4,53,17,3.625000,17.282349,23.671402,3.625000,6.359375,0
192.168.50.8,59011,4.2.2.4,53,17,4.187500,16.719849,23.079098,4.187500,6.328125,0
192.168.50.8,49641,4.2.2.4,53,17,3.125000,17.782349,23.977686,3.125000,6.156250,0
192.168.50.6,54868,172.217.9.230,443,6,25.739901,254.571396,5.663602,21.427401,7.096680,0
192.168.50.6,54884,172.217.3.106,443,6,18.046806,6.502914,13.918284,13.484306,7.405273,0
74.208.236.171,80,192.168.50.6,54844,6,22.370312,255.537033,5.507236,20.870312,5.968750,0
192.168.50.8,58889,4.2.2.4,53,17,3.625000,17.282349,23.403179,3.625000,6.078125,0
192.0.73.2,80,192.168.50.6,54836,6,24.791553,254.877380,6.963058,21.166553,8.089844,0
172.16.0.5,52312,192.168.50.4,6921,6,17.157967,4.749382,10.630173,15.657967,5.875000,0
192.168.50.6,50237,4.2.2.4,53,17,3.500000,17.407349,23.751698,3.500000,6.312500,0
192.168.50.8,60360,4.2.2.4,53,17,3.500000,17.407349,23.766598,3.500000,6.328125,0
192.168.50.6,54800,172.217.7.2,443,6,25.085838,253.344666,3.553289,22.835838,6.218750,0
192.168.50.8,53186,4.2.2.4,53,17,3.625000,17.282349,23.432983,3.625000,6.109375,0
192.168.50.8,60926,4.2.2.4,53,17,4.937500,16.969849,23.299297,3.437500,6.296875,0
192.168.50.6,54862,172.217.12.206,80,6,26.214272,254.454666,5.374565,21.526772,6.916016,0
192.168.50.8,55151,4.2.2.4,53,17,4.812500,16.094849,22.275284,4.812500,6.140625,0
192.168.50.6,63587,4.2.2.4,53,17,3.500000,17.407349,23.721895,3.500000,6.281250,0
192.168.50.6,57346,4.2.2.4,53,17,3.500000,17.407349,23.647388,3.500000,6.203125,0
192.168.50.6,51348,4.2.2.4,53,17,3.500000,17.407349,23.647388,3.500000,6.203125,0
192.168.50.6,54878,52.85.89.250,443,6,26.200655,254.931839,1.865022,21.044405,7.895996,0
192.168.50.6,53212,8.8.8.8,53,17,3.375000,17.532349,23.831993,3.375000,6.265625,0
192.168.50.6,58003,4.2.2.4,53,17,3.875000,17.032349,23.391598,3.875000,6.328125,0
172.16.0.5,41860,192.168.50.4,8988,6,16.377945,5.529404,11.410194,14.877945,5.875000,0
172.217.12.193,443,192.168.50.6,54858,6,25.769840,254.303040,5.635076,21.707340,8.660156,0
172.217.12.193,443,192.168.50.6,54857,6,17.718391,6.188957,13.593391,13.843391,8.736328,0
192.168.50.8,53461,4.2.2.4,53,17,3.375000,17.532349,23.906500,3.375000,6.343750,0
192.168.50.9,46826,192.168.10.50,22,6,25.938002,253.730927,3.991698,22.313002,6.261719,0
172.217.9.226,443,192.168.50.8,59599,6,25.821428,255.430267,4.266418,20.540178,7.878662,0
192.168.50.8,54224,4.2.2.4,53,17,4.312500,16.594849,22.998802,4.312500,6.375000,0
192.168.50.6,54870,172.217.9.230,443,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
192.168.50.8,61889,4.2.2.4,53,17,3.000000,17.907349,24.147388,3.000000,6.203125,0
192.168.50.8,59612,172.217.10.138,443,6,25.762228,254.787491,5.764209,21.199728,6.975586,0
192.168.50.6,51314,4.2.2.4,53,17,3.500000,17.407349,23.632488,3.500000,6.187500,0
192.168.50.6,54876,52.85.89.250,443,6,26.201120,255.587021,4.262980,20.357370,7.365479,0
192.168.50.6,49363,4.2.2.4,53,17,3.625000,17.282349,23.641598,3.625000,6.328125,0
172.217.3.106,443,192.168.50.6,54884,6,18.195301,6.294815,13.326495,13.695301,8.283936,0
192.168.50.6,54850,172.217.9.226,443,6,18.047119,6.144974,13.272565,13.859619,7.133789,0
192.168.50.6,54839,74.208.236.171,80,6,17.947777,5.959572,13.277843,14.072777,7.285156,0
192.168.50.8,59600,172.217.9.226,443,6,25.769409,255.018723,6.132350,20.956909,7.119141,0
192.168.50.8,64820,4.2.2.4,53,17,4.250000,16.657349,22.837784,4.250000,6.140625,0
192.168.50.8,60931,239.255.255.250,1900,17,22.434359,3.174967,5.959144,16.778109,7.406738,0
192.168.50.6,52533,4.2.2.4,53,17,5.593750,15.313599,21.702652,5.593750,6.359375,0
192.168.50.6,53166,8.8.8.8,53,17,5.375000,15.532349,21.995907,5.375000,6.437500,0
192.168.50.8,59609,172.217.3.100,443,6,25.745148,254.923782,4.343599,21.057648,7.583984,0
192.168.50.6,57622,4.2.2.4,53,17,3.375000,17.532349,23.846895,3.375000,6.281250,0
192.168.50.6,52308,4.2.2.4,53,17,4.312500,16.594849,22.834888,4.312500,6.203125,0
172.16.0.5,52312,192.168.50.4,15789,6,17.146492,4.760857,10.641647,15.646492,5.875000,0
192.168.50.8,64360,4.2.2.4,53,17,3.625000,17.282349,23.462784,3.625000,6.140625,0
192.168.50.6,54871,172.217.9.230,443,6,17.551155,6.640938,13.768529,13.363655,7.133789,0
172.217.9.230,443,192.168.50.6,54869,6,25.767473,0.782247,2.990184,19.158098,10.020599,0
192.168.50.6,54823,74.208.236.171,80,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
0.0.0.0,68,255.255.255.255,67,17,24.720816,255.769302,7.260588,20.220816,8.481201,0
72.21.91.29,80,192.168.50.6,54822,6,26.185102,254.245407,2.189651,21.747602,7.638672,0
192.168.50.6,65408,4.2.2.4,53,17,3.625000,17.282349,23.745907,3.625000,6.437500,0
192.168.50.8,61859,4.2.2.4,53,17,5.656250,15.251099,21.595448,5.656250,6.312500,0
192.168.50.6,54826,74.208.236.171,80,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
192.168.50.8,61001,4.2.2.4,53,17,3.500000,17.407349,23.632488,3.500000,6.187500,0
192.168.50.8,61172,4.2.2.4,53,17,3.625000,17.282349,23.477686,3.625000,6.156250,0
192.168.50.8,60215,4.2.2.4,53,17,5.343750,15.563599,21.922848,5.343750,6.328125,0
192.168.50.6,54347,4.2.2.4,53,17,3.375000,17.532349,23.697884,3.375000,6.125000,0
192.168.50.6,60391,4.2.2.4,53,17,4.125000,16.782349,23.081993,4.125000,6.265625,0
192.168.50.6,62013,4.2.2.4,53,17,4.250000,16.657349,23.091105,4.250000,6.406250,0
192.168.50.8,56770,4.2.2.4,53,17,4.312500,16.594849,23.013702,4.312500,6.390625,0
172.217.12.206,80,192.168.50.6,54862,6,26.214268,254.216248,255.247025,21.776768,7.560547,0
192.168.50.8,52762,4.2.2.4,53,17,3.750000,17.157349,23.382488,3.750000,6.187500,0
192.168.50.6,54851,172.217.12.206,80,6,26.215965,254.797318,3.898858,21.184715,7.278320,0
192.168.50.6,54872,172.217.12.162,443,6,25.505135,1.461818,1.048485,18.481697,8.020508,0
52.85.89.250,443,192.168.50.6,54878,6,26.200653,254.872223,2.271445,21.106903,9.209839,0
192.168.50.6,56066,4.2.2.4,53,17,3.500000,17.407349,23.870907,3.500000,6.437500,0
192.168.50.8,51821,4.2.2.4,53,17,4.062500,16.844849,23.263702,4.062500,6.390625,0
192.168.50.6,54874,172.217.12.162,443,6,3.625000,17.282349,23.341953,3.625000,6.031250,0
192.168.50.8,52670,4.2.2.4,53,17,3.750000,17.157349,23.397388,3.750000,6.203125,0
192.168.50.6,55847,4.2.2.4,53,17,4.062500,16.844849,23.308407,4.062500,6.437500,0
192.168.50.6,54840,74.208.236.171,80,6,3.875000,17.032349,23.091953,3.875000,6.031250,0
192.168.50.6,59077,4.2.2.4,53,17,3.750000,17.157349,23.531500,3.750000,6.343750,0
192.168.50.8,53267,4.2.2.4,53,17,4.062500,16.844849,23.323307,4.062500,6.453125,0
192.168.50.8,56022,4.2.2.4,53,17,5.250000,15.657349,21.852686,5.250000,6.156250,0
192.168.50.6,58119,8.8.8.8,53,17,4.375000,16.532349,22.906500,4.375000,6.343750,0
192.168.50.8,60484,4.2.2.4,53,17,4.062500,16.844849,23.114693,4.062500,6.234375,0
192.168.50.6,54886,52.34.248.21,443,6,24.217783,0.093520,5.914767,19.905283,8.822021,0
192.168.50.8,52621,4.2.2.4,53,17,3.500000,17.407349,23.751698,3.500000,6.312500,0
192.168.50.8,55292,4.2.2.4,53,17,5.187500,15.719849,22.064198,5.187500,6.312500,0
192.168.50.6,54881,52.85.89.250,443,6,26.200649,254.812622,4.364934,21.169399,7.396484,0
192.168.50.6,55346,4.2.2.4,53,17,5.656250,15.251099,21.535843,5.656250,6.250000,0
192.168.50.8,50301,4.2.2.4,53,17,6.062500,15.844849,22.308407,4.562500,6.437500,0
192.168.50.6,54860,172.217.12.206,80,6,26.213812,254.455124,5.375024,21.526312,6.916016,0
192.168.50.6,56371,4.2.2.4,53,17,4.187500,16.719849,22.900284,4.187500,6.140625,0
192.168.50.6,50158,4.2.2.4,53,17,3.625000,17.282349,23.641598,3.625000,6.328125,0
192.168.50.6,58222,4.2.2.4,53,17,3.750000,17.157349,23.561302,3.750000,6.375000,0
192.168.50.6,52915,8.8.8.8,53,17,3.875000,17.032349,23.331993,3.875000,6.265625,0
192.168.50.6,52188,4.2.2.4,53,17,3.500000,17.407349,23.796402,3.500000,6.359375,0
192.168.50.6,54833,74.208.236.171,80,6,3.625000,17.282349,23.341953,3.625000,6.031250,0
52.85.89.250,443,192.168.50.6,54877,6,26.201351,254.765594,4.078407,21.201351,9.101196,0
172.217.9.226,443,192.168.50.8,59597,6,25.768181,255.304703,5.664225,20.674431,8.299072,0
192.168.50.8,51052,4.2.2.4,53,17,3.375000,17.532349,23.876698,3.375000,6.312500,0
192.168.50.8,61916,4.2.2.4,53,17,5.031250,15.876099,22.056534,5.031250,6.140625,0
192.168.50.8,60944,4.2.2.4,53,17,3.500000,17.407349,23.796402,3.500000,6.359375,0
172.217.9.226,443,192.168.50.6,54849,6,25.777664,255.325027,5.484308,20.652664,8.223145,0
192.0.73.2,80,192.168.50.6,54837,6,24.791555,254.877380,6.970506,21.166555,8.097656,0
192.168.50.6,58153,4.2.2.4,53,17,3.500000,17.407349,24.273239,3.500000,6.859375,0
192.168.50.8,59595,74.208.236.171,80,6,23.868166,0.323927,7.020556,19.680666,6.730469,0
172.217.9.230,443,192.168.50.6,54868,6,25.738047,254.573257,5.980724,21.425547,8.574707,0
192.168.50.8,59601,172.217.3.106,443,6,26.138514,254.993973,4.352565,20.982264,7.251953,0
192.168.50.6,54853,172.217.9.226,443,6,25.803785,1.656529,4.339283,18.280348,7.947998,0
192.168.50.6,51640,8.8.8.8,53,17,3.625000,17.282349,23.641598,3.625000,6.328125,0
192.168.50.8,57360,4.2.2.4,53,17,5.562500,15.344849,21.733902,5.562500,6.359375,0
192.168.50.6,61988,4.2.2.4,53,17,3.625000,17.282349,23.522388,3.625000,6.203125,0
192.168.50.8,59614,172.217.12.162,443,6,25.193506,255.819778,5.909660,20.162256,7.564453,0
192.168.50.6,54843,74.208.236.171,80,6,3.500000,17.407349,23.466953,3.500000,6.031250,0
192.168.50.9,37312,23.194.108.29,443,6,14.432251,8.759842,15.039239,11.307251,6.292969,0
172.217.9.226,443,192.168.50.6,54856,6,17.700287,6.207062,13.441064,13.825287,8.646973,0
192.168.50.6,61444,4.2.2.4,53,17,3.625000,17.282349,23.371756,3.625000,6.046875,0
192.168.50.6,54867,172.217.6.234,443,6,25.743732,255.044403,4.294724,20.931232,7.445801,0
192.168.50.8,64358,4.2.2.4,53,17,3.500000,17.407349,23.811302,3.500000,6.375000,0
192.168.50.6,54815,23.63.78.40,80,6,26.192360,254.357361,5.081688,21.629860,6.710938,0
172.217.12.162,443,192.168.50.8,59611,6,25.763275,255.203674,5.855379,20.763275,7.865967,0
172.16.0.5,31151,192.168.50.4,22,6,23.509943,1.158988,4.678547,18.822443,7.376465,0
192.168.50.8,53017,4.2.2.4,53,17,3.500000,17.407349,23.736797,3.500000,6.296875,0
192.168.50.6,50512,4.2.2.4,53,17,3.375000,17.532349,23.861797,3.375000,6.296875,0
172.16.0.5,41077,192.168.50.4,9740,6,16.552765,5.354584,11.235374,15.052765,5.875000,0
172.217.12.162,443,192.168.50.8,59614,6,25.194685,255.967606,3.530368,20.007185,7.886353,0
192.168.50.8,51666,4.2.2.4,53,17,3.500000,17.407349,23.826202,3.500000,6.390625,0
74.208.236.171,80,192.168.50.6,54839,6,17.526703,5.903809,12.942023,14.151703,8.933594,0
74.208.236.171,80,192.168.50.8,59595,6,23.868118,0.502788,7.446038,19.493118,9.783325,0
192.168.50.8,52807,4.2.2.4,53,17,3.625000,17.282349,23.522388,3.625000,6.203125,0
192.168.50.8,59598,172.217.9.226,80,6,22.288136,0.619213,6.544707,19.538136,5.921875,0
192.168.50.6,54814,74.208.236.171,80,6,19.370342,4.821751,11.933510,15.182842,7.117188,0
172.217.12.206,80,192.168.50.6,54852,6,26.211071,254.338654,4.248343,21.648571,7.806152,0
192.168.50.8,54056,4.2.2.4,53,17,3.750000,17.157349,23.531500,3.750000,6.343750,0
192.168.50.4,22,172.16.0.5,17369,6,23.219210,2.032487,8.192225,17.937960,7.476074,0
172.217.9.226,443,192.168.50.6,54859,6,17.269440,6.637909,13.870980,13.394440,8.646484,0
172.217.3.106,443,192.168.50.8,59601,6,26.137913,255.113785,3.842262,20.856663,8.390137,0
192.168.50.6,54845,74.208.236.171,80,6,22.383165,0.524184,6.449678,19.633165,5.921875,0
192.168.50.3,0,192.168.50.4,0,1,27.825413,2.316388,4.122859,17.629124,6.636047,0
192.168.50.8,49687,4.2.2.4,53,17,3.250000,17.657349,24.001698,3.250000,6.312500,0
192.168.50.6,54852,172.217.12.206,80,6,26.211075,254.696274,1.405945,21.273575,7.101562,0
192.168.50.6,64539,4.2.2.4,53,17,3.500000,17.407349,23.706993,3.500000,6.265625,0
192.168.50.6,54877,52.85.89.250,443,6,26.201351,254.871536,1.035933,21.107601,7.943848,0
192.168.50.6,54883,172.217.12.162,443,6,17.102753,6.970131,14.161052,13.040253,7.200195,0
172.217.9.226,80,192.168.50.6,54848,6,22.365040,255.542313,5.512506,20.865040,5.968750,0
192.168.50.6,54882,23.194.177.32,443,6,26.197021,255.710327,4.241903,20.228271,6.425781,0
