STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),lof_score,Normal
160,192.168.50.6,54805,150629,4,240,50209,50.495998,0
161,192.168.50.8,60891,6952521,36,12158,198643,1.018000,1
162,192.168.50.9,57944,1927,2,148,1927,1.065000,1
163,192.168.50.6,56174,1000429,22,5352,47639,0.995000,1
164,192.168.50.6,56166,2062015,28,3816,76370,1.033000,1
165,192.168.50.6,56175,136143,18,5232,8008,1.017000,1
166,192.168.50.6,56163,1057549,10,1470,117505,1.040000,1
167,192.168.50.9,48208,287566,8,682,41080,30.959999,0
168,192.168.50.8,60781,13920683,12,1010,1265516,1.010000,1
169,192.168.50.6,56118,14285467,24,4042,621107,1.000000,1
170,192.168.50.8,53461,42195,2,172,42195,7.496000,0
171,34.209.30.112,443,174681241,24,1740,7594836,55.636002,0
172,192.168.50.8,60885,8836798,56,7226,160669,0.995000,1
173,192.168.50.9,51072,1792,2,148,1792,1.033000,1
174,172.217.2.174,443,32133912064,27,6882,1235919694,15.424000,0
175,172.16.0.5,46769,35240,2,120,35240,36.495998,0
176,192.168.50.6,56123,4196066,16,1250,279737,0.995000,1
177,192.168.50.8,60360,53912,2,170,53912,18.032000,0
178,35.158.163.158,443,91203,4,264,30401,50.495998,0
179,192.168.50.6,56149,6305642,16,1250,420376,1.177000,1
180,192.168.50.8,59599,81328429,27,6418,3128016,39.172001,0
181,192.168.50.6,54799,3833664695,8,600,547666385,32.459999,0
182,192.168.50.6,56167,2055741,26,3698,82229,1.020000,1
183,192.168.50.8,60850,4112907,20,1514,216468,1.012000,1
184,192.168.50.8,60852,3726692,16,1250,248446,1.014000,1
185,93.184.216.180,443,263512,6,444,52702,48.352001,0
186,192.168.50.8,61001,146178,2,152,146178,16.459999,0
187,192.168.50.8,61667,53966,2,162,53966,13.996000,0
188,192.168.50.8,64858,54869,2,154,54869,42.959999,0
189,192.168.50.8,59608,46358355,85,20317,551885,55.172001,0
190,192.168.50.8,59601,25847199,24,4076,1123791,1.460000,0
191,192.168.50.6,56173,1195694,20,5314,62931,1.000000,1
192,192.168.50.8,60853,4999948,26,1610,199997,1.033000,1
193,192.168.50.9,57932,2141,2,148,2141,0.986000,1
194,172.217.2.166,443,32133614021,183,52872,176558318,52.995998,0
195,192.168.50.8,61172,55744,2,148,55744,55.959999,0
196,192.168.50.8,59606,48649403,24,3526,2115191,5.136000,0
197,192.168.50.8,60848,4036677,16,1250,269111,1.003000,1
198,192.168.50.8,60845,6585717,20,1514,346616,1.067000,1
199,74.208.236.171,80,4651625286,1506,754593,3090780,48.959999,0
200,192.168.50.8,60884,1569,2,132,1569,1.003000,1
