STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),lof_score,Normal
49,192.168.50.8,59610,244410537,56,8612,4443827,35.459999,0
50,192.168.50.9,57658,7364959,8,682,1052137,41.424000,0
51,192.168.50.9,46826,2827498,9,666,353437,44.959999,0
52,35.158.163.158,443,724232,4,264,241410,16.959999,0
53,192.168.50.8,59843,240336404,4,366,80112134,16.459999,0
54,192.168.50.4,22,505808292,108,20710,4727180,63.495998,0
55,192.168.50.8,55186,383580,2,146,383580,58.995998,0
56,23.194.108.29,443,1566583,6,458,313316,16.459999,0
57,192.168.50.8,59598,254202054,8,492,36314579,16.459999,0
58,192.168.50.8,52762,356678,2,152,356678,58.495998,0
59,192.168.50.8,55876,436775,2,178,436775,6.924000,0
60,192.168.50.8,59593,1714487,6,388,342897,16.959999,0
61,192.168.50.8,52670,384046,2,154,384046,29.459999,0
62,192.168.50.6,54802,727082,4,320,242360,16.959999,0
63,192.168.50.8,58070,376300,2,146,376300,19.424000,0
64,172.217.9.226,80,4209658334,8,504,601379762,15.496000,0
65,192.168.50.8,59606,177256877,14,2876,13635144,16.459999,0
66,192.168.50.8,62421,360137,2,174,360137,40.959999,0
67,52.28.108.167,443,27121187,8,528,3874455,10.640000,0
68,172.16.0.5,17369,9387894,30,4810,323720,16.959999,0
69,172.217.9.226,443,4429203358,566,265325,7839297,18.032000,0
70,192.168.50.8,53546,1242376,4,316,414125,30.959999,0
71,192.168.50.8,61001,426756,2,152,426756,28.996000,0
72,192.168.50.9,37312,4689517923,126,15570,37516143,16.959999,0
73,173.194.208.109,465,169587466,47,8757,3686684,16.459999,0
74,192.168.50.8,55151,423993,2,146,423993,40.532001,0
75,192.168.50.6,54799,3863667085,8,600,551952440,15.496000,0
76,192.168.50.6,60512,315940,2,152,315940,45.959999,0
77,172.16.0.5,46769,431245,2,120,431245,8.424000,0
78,192.168.50.8,59605,10457211,16,2640,697147,61.888000,0
79,192.168.50.8,55174,370411,2,162,370411,18.032000,0
80,52.85.90.206,443,4215331803,227,173512,18651910,46.495998,0
81,54.192.55.39,443,931489,4,264,310496,30.959999,0
82,172.16.0.5,52312,410860866,20,1200,21624256,16.959999,0
83,192.168.50.8,61667,378035,2,162,378035,60.959999,0
84,192.168.50.8,59594,155721340,38,4902,4208684,28.496000,0
85,192.168.50.8,52983,433684,2,176,433684,59.104000,0
86,192.168.50.6,54804,4049325,5,380,1012331,36.424000,0
87,192.168.50.8,56022,250400,2,148,250400,13.924000,0
88,192.168.50.8,52807,410621,2,154,410621,4.460000,0
89,93.184.216.180,443,992273,4,312,330757,41.424000,0
90,192.168.50.8,58889,358434,2,138,358434,28.959999,0
91,192.168.50.8,50492,543385,2,172,543385,16.959999,0
92,54.192.53.175,443,352776879,25,10988,14699036,64.496002,0
93,192.168.50.8,58785,422900,2,160,422900,16.459999,0
94,192.168.50.8,59601,165854428,24,4076,7211062,64.531998,0
95,192.168.50.8,60497,347873,2,150,347873,16.959999,0
96,192.168.50.8,59596,133961635,4,252,44653878,25.996000,0
97,172.217.2.98,443,58169459091,28,2320,2154424410,63.495998,0
98,74.208.236.171,80,4577111873,466,245333,9843251,46.495998,0
99,192.168.50.8,62834,512188,2,158,512188,16.959999,0
100,192.168.50.9,41488,3877455,9,702,484681,36.424000,0
101,172.217.2.166,443,57218681521,24,2506,2487768761,47.495998,0
102,192.168.50.8,59145,421544,2,152,421544,2.496000,0
103,192.168.50.8,59609,8770335,22,5012,417635,27.888000,0
104,192.168.50.8,59600,16313801,24,3632,709295,43.959999,0
