STT,SrcIP,SrcPort,DstIP,DstPort,Proto,FlowDuration,FlowPktsPerSec,FlowBytesPerSec,FlowIATMean,PktsLenMean,Label
71,192.168.50.8,57802,4.2.2.4,53,17,5,400000,29200000,5,73,1
72,172.16.0.5,811,192.168.50.4,14651,17,67,29850,7552238,67,253,0
73,172.16.0.5,648,192.168.50.4,6915,17,53,37735,10226415,53,271,0
74,172.16.0.5,648,192.168.50.4,16892,17,48,41666,11291666,48,271,1
75,172.16.0.5,547,192.168.50.4,23356,17,36,55555,15055555,36,271,0
76,52.85.89.197,443,192.168.50.8,59927,6,5051177,2,588,360798,770,1
77,172.16.0.5,648,192.168.50.4,60780,17,48,41666,11291666,48,271,1
78,172.16.0.5,811,192.168.50.4,43222,17,39,51282,13897435,39,271,0
79,172.16.0.5,625,192.168.50.4,11341,17,43,46511,12604651,43,271,0
80,172.16.0.5,671,192.168.50.4,49359,17,64,31250,8468750,64,271,1
81,172.16.0.5,713,192.168.50.4,46742,17,82,24390,7048780,82,289,0
82,172.16.0.5,895,192.168.50.4,26111,17,41,48780,15853658,41,325,0
83,192.168.50.6,55253,74.208.236.171,80,6,4,500000,33000000,4,66,1
84,52.85.89.197,443,192.168.50.8,59925,6,162178,104,19065,10136,687,1
85,172.16.0.5,648,192.168.50.4,49516,17,52,38461,11115384,52,289,0
86,172.16.0.5,845,192.168.50.4,42194,17,45,44444,12044444,45,271,1
87,172.16.0.5,648,192.168.50.4,53686,17,43,46511,13441860,43,289,0
88,192.168.50.6,55261,74.208.236.171,80,6,5251985,1,93,750283,61,1
89,172.16.0.5,850,192.168.50.4,57199,17,47,42553,12297872,47,289,0
90,74.208.236.171,80,192.168.50.6,55261,6,5197075,0,48,1732358,63,1
91,192.168.50.6,64703,4.2.2.4,53,17,19,105263,9157894,19,87,1
92,192.168.50.6,55179,216.58.217.130,443,6,6656331,3,62,350333,235,1
93,172.16.0.5,648,192.168.50.4,26483,17,54,37037,10037037,54,271,1
94,172.16.0.5,996,192.168.50.4,11842,17,55,36363,9854545,55,271,1
95,52.85.89.197,443,192.168.50.8,59928,6,5047936,3,360,336529,650,1
96,192.168.50.8,59929,52.85.89.10,443,6,5146987,3,490,270894,126,1
97,172.16.0.5,653,192.168.50.4,42828,17,38,52631,14263157,38,271,0
98,172.217.11.34,80,192.168.50.6,55248,6,5051091,0,49,1683697,63,1
99,172.16.0.5,897,192.168.50.4,16457,17,48,41666,11291666,48,271,1
100,172.16.0.5,648,192.168.50.4,19015,17,52,38461,10423076,52,271,1
101,192.168.50.8,54037,4.2.2.4,53,17,7,285714,25428571,7,89,1
102,192.168.50.6,55256,74.208.236.171,80,6,2,1000000,66000000,2,66,1
103,74.208.236.171,80,192.168.50.6,55250,6,785525,7,473,157105,62,1
104,172.16.0.5,752,192.168.50.4,4332,17,71,28169,7633802,71,271,0
105,172.16.0.5,949,192.168.50.4,113,17,55,36363,10509090,55,289,0
106,172.16.0.5,685,192.168.50.4,30986,17,44,45454,12318181,44,271,1
107,172.16.0.5,747,192.168.50.4,58648,17,52,38461,10423076,52,271,0
108,192.168.50.6,51478,4.2.2.4,53,17,4,500000,36500000,4,73,1
109,172.16.0.5,728,192.168.50.4,49403,17,45,44444,12044444,45,271,0
110,172.16.0.5,648,192.168.50.4,36765,17,61,32786,8885245,61,271,1
111,172.16.0.5,648,192.168.50.4,55318,17,50,40000,11560000,50,289,0
112,172.16.0.5,648,192.168.50.4,19113,17,51,39215,9921568,51,253,0
113,192.168.50.6,57011,4.2.2.4,53,17,4,1000000,76000000,1,76,1
114,172.16.0.5,957,192.168.50.4,10009,17,54,37037,10037037,54,271,1
115,172.16.0.5,686,192.168.50.4,61009,17,40,50000,13550000,40,271,0
116,172.16.0.5,648,192.168.50.4,21790,17,42,47619,12904761,42,271,1
117,172.16.0.5,851,192.168.50.4,48771,17,46,43478,12565217,46,289,0
118,172.16.0.5,1003,192.168.50.4,49655,17,70,28571,7742857,70,271,1
119,74.208.236.171,80,192.168.50.6,55260,6,5241890,0,48,1747296,63,1
120,192.168.50.6,52358,4.2.2.4,53,17,6,333333,28333333,6,85,1
121,172.16.0.5,671,192.168.50.4,53666,17,51,39215,10627450,51,271,0
122,172.16.0.5,648,192.168.50.4,20761,17,41,48780,13219512,41,271,1
123,172.16.0.5,665,192.168.50.4,23584,17,84,23809,6452380,84,271,0
124,172.16.0.5,810,192.168.50.4,38709,17,56,35714,9035714,56,253,0
125,172.16.0.5,787,192.168.50.4,56800,17,65,30769,8338461,65,271,1
126,172.16.0.5,648,192.168.50.4,61704,17,70,28571,7742857,70,271,0
127,192.168.50.8,56831,4.2.2.4,53,17,7,285714,25428571,7,89,1
128,172.16.0.5,814,192.168.50.4,55233,17,46,43478,11782608,46,271,0
129,192.168.50.6,55101,172.217.12.196,443,6,7342372,4,328,236850,209,1
130,192.168.50.8,60926,4.2.2.4,53,17,5,800000,71200000,1,89,1
131,192.168.50.6,52535,8.8.8.8,53,17,3,666666,58666666,3,88,1
132,172.16.0.5,749,192.168.50.4,13970,17,61,32786,8885245,61,271,1
133,192.168.50.8,59010,4.2.2.4,53,17,5,400000,32400000,5,81,1
134,172.16.0.5,706,192.168.50.4,44699,17,61,32786,8885245,61,271,1
135,192.168.50.6,58136,8.8.8.8,53,17,27,74074,5407407,27,73,1
136,192.168.50.8,58683,4.2.2.4,53,17,3,666666,44666666,3,67,1
137,172.16.0.5,516,192.168.50.4,38545,17,42,47619,12095238,42,254,0
138,172.16.0.5,871,192.168.50.4,63338,17,57,35087,9508771,57,271,0
139,192.168.50.6,65467,4.2.2.4,53,17,7,285714,26285714,7,92,1
140,172.16.0.5,648,192.168.50.4,26812,17,47,42553,12297872,47,289,0
141,172.16.0.5,648,192.168.50.4,38920,17,57,35087,10140350,57,289,0
142,172.16.0.5,648,192.168.50.4,33276,17,71,28169,6619718,71,235,0
143,172.16.0.5,828,192.168.50.4,23604,17,48,41666,11291666,48,271,0
144,192.168.50.8,50582,4.2.2.4,53,17,39,51282,4153846,39,81,0
145,192.168.50.6,49281,8.8.8.8,53,17,27,74074,5481481,27,74,1
146,172.16.0.5,648,192.168.50.4,31480,17,79,25316,8227848,79,325,0
147,172.16.0.5,812,192.168.50.4,46139,17,55,36363,9854545,55,271,0
148,172.16.0.5,557,192.168.50.4,64552,17,78,25641,6487179,78,253,0
149,74.208.236.171,80,192.168.50.8,59915,6,5471923,0,46,1823974,63,1
150,172.16.0.5,931,192.168.50.4,60857,17,67,29850,8089552,67,271,0
151,192.168.50.8,59930,52.85.89.10,443,6,5146795,2,404,395907,148,0
152,172.16.0.5,746,192.168.50.4,36438,17,49,40816,11061224,49,271,0
153,192.168.50.6,55252,74.208.236.171,80,6,2,1000000,66000000,2,66,1
154,192.168.50.6,55255,74.208.236.171,80,6,2,1000000,66000000,2,66,1
155,172.16.0.5,639,192.168.50.4,15646,17,66,30303,9848484,66,325,0
156,192.168.50.6,55182,172.217.6.230,443,6,7562563,2,511,360122,175,1
157,172.16.0.5,648,192.168.50.4,7240,17,44,45454,12318181,44,271,0
158,192.168.50.6,55262,172.217.9.225,443,6,151310,92,16733,11639,180,1
159,172.16.0.5,648,192.168.50.4,55211,17,61,32786,8885245,61,271,1
160,172.16.0.5,670,192.168.50.4,7640,17,60,33333,9033333,60,271,1
161,172.16.0.5,648,192.168.50.4,58477,17,78,25641,6948717,78,271,0
162,172.16.0.5,824,192.168.50.4,24253,17,39,51282,13897435,39,271,1
163,172.16.0.5,648,192.168.50.4,57489,17,40,50000,13550000,40,271,1
164,172.16.0.5,1012,192.168.50.4,36944,17,49,40816,11061224,49,271,0
165,172.16.0.5,811,192.168.50.4,22223,17,47,42553,11531914,47,271,0
166,172.16.0.5,648,192.168.50.4,36883,17,56,35714,9678571,56,271,0
167,172.16.0.5,648,192.168.50.4,1071,17,57,35087,8912280,57,254,0
168,192.168.50.6,50324,4.2.2.4,53,17,5,400000,29200000,5,73,1
169,74.208.236.171,80,192.168.50.6,55257,6,83004,72,4481,16600,62,1
170,172.16.0.5,648,192.168.50.4,5276,17,38,52631,14263157,38,271,0
171,172.16.0.5,772,192.168.50.4,5706,17,47,42553,11531914,47,271,0
172,192.168.50.6,51248,8.8.8.8,53,17,5,400000,33200000,5,83,1
173,74.208.236.171,80,192.168.50.6,55259,6,5245173,0,48,1748391,63,1
174,52.85.89.10,443,192.168.50.8,59929,6,5107893,2,581,364849,770,1
175,172.16.0.5,648,192.168.50.4,38449,17,46,43478,11782608,46,271,1
176,172.16.0.5,629,192.168.50.4,54754,17,50,40000,10840000,50,271,1
177,192.168.50.8,52448,4.2.2.4,53,17,2,1000000,89000000,2,89,1
178,172.16.0.5,648,192.168.50.4,18221,17,46,43478,11782608,46,271,1
179,172.16.0.5,642,192.168.50.4,26294,17,59,33898,9186440,59,271,0
180,172.16.0.5,720,192.168.50.4,46550,17,60,33333,9033333,60,271,1
181,172.16.0.5,648,192.168.50.4,48408,17,39,51282,13897435,39,271,0
182,172.16.0.5,731,192.168.50.4,23826,17,52,38461,10423076,52,271,0
183,172.16.0.5,648,192.168.50.4,16098,17,60,33333,9033333,60,271,1
184,172.16.0.5,536,192.168.50.4,58110,17,57,35087,9508771,57,271,1
185,172.16.0.5,700,192.168.50.4,50896,17,101,19801,5366336,101,271,0
186,192.168.50.6,55251,74.208.236.171,80,6,807568,12,1807,89729,146,1
187,172.16.0.5,544,192.168.50.4,61967,17,64,31250,9031250,64,289,0
188,172.16.0.5,648,192.168.50.4,24307,17,46,43478,11782608,46,271,1
189,172.16.0.5,648,192.168.50.4,39773,17,56,35714,9678571,56,271,0
190,172.16.0.5,572,192.168.50.4,12591,17,44,45454,12318181,44,271,0
191,172.16.0.5,557,192.168.50.4,50312,17,50,40000,10840000,50,271,0
192,192.168.50.6,55096,172.217.10.226,443,6,7234100,20,345,49548,250,1
193,172.16.0.5,648,192.168.50.4,19284,17,57,35087,8877192,57,253,0
194,192.168.50.6,50324,8.8.8.8,53,17,19,105263,7684210,19,73,1
195,172.16.0.5,993,192.168.50.4,5639,17,68,29411,7970588,68,271,0
196,172.16.0.5,588,192.168.50.4,4250,17,44,45454,11500000,44,253,0
197,172.16.0.5,648,192.168.50.4,37885,17,42,47619,12904761,42,271,1
198,192.168.50.6,55250,74.208.236.171,80,6,840659,11,1734,93406,145,1
199,172.16.0.5,589,192.168.50.4,41528,17,57,35087,9508771,57,271,1
200,172.16.0.5,618,192.168.50.4,10939,17,62,32258,8741935,62,271,0
201,172.16.0.5,596,192.168.50.4,26867,17,83,24096,6530120,83,271,0
202,172.16.0.5,648,192.168.50.4,62248,17,41,48780,13219512,41,271,1
203,172.16.0.5,585,192.168.50.4,50012,17,57,35087,9508771,57,271,0
204,172.16.0.5,648,192.168.50.4,27900,17,56,35714,9678571,56,271,0
205,172.16.0.5,720,192.168.50.4,8885,17,51,39215,10627450,51,271,1
206,192.168.50.6,53762,4.2.2.4,53,17,7,285714,20857142,7,73,1
207,172.16.0.5,648,192.168.50.4,56945,17,37,54054,14648648,37,271,0
208,172.16.0.5,1010,192.168.50.4,16013,17,42,47619,12904761,42,271,0
209,172.16.0.5,548,192.168.50.4,33279,17,36,55555,15055555,36,271,1
210,172.16.0.5,1006,192.168.50.4,30142,17,61,32786,8885245,61,271,0
211,172.16.0.5,648,192.168.50.4,15174,17,47,42553,11531914,47,271,1
212,172.16.0.5,818,192.168.50.4,43759,17,67,29850,8626865,67,289,0
213,172.16.0.5,1002,192.168.50.4,64449,17,92,21739,5891304,92,271,0
214,192.168.50.8,51173,4.2.2.4,53,17,5,400000,32400000,5,81,1
215,192.168.50.8,65497,4.2.2.4,53,17,2,1000000,89000000,2,89,1
216,172.16.0.5,648,192.168.50.4,40231,17,40,50000,13550000,40,271,1
217,192.168.50.6,53312,4.2.2.4,53,17,2,1000000,73000000,2,73,1
218,192.168.50.6,55259,74.208.236.171,80,6,5300257,1,92,757179,61,1
219,192.168.50.8,53995,4.2.2.4,53,17,3,666666,52666666,3,79,1
220,192.168.50.8,63143,4.2.2.4,53,17,3,666666,44666666,3,67,1
221,192.168.50.8,56063,4.2.2.4,53,17,2,1000000,73000000,2,73,1
222,172.16.0.5,648,192.168.50.4,16637,17,60,33333,9033333,60,271,1
223,192.168.50.6,58136,4.2.2.4,53,17,3,666666,48666666,3,73,1
224,172.16.0.5,777,192.168.50.4,60500,17,49,40816,11795918,49,289,0
225,172.16.0.5,960,192.168.50.4,29088,17,63,31746,9174603,63,289,0
226,172.16.0.5,856,192.168.50.4,53901,17,87,22988,6229885,87,271,0
227,172.16.0.5,648,192.168.50.4,58713,17,41,48780,13219512,41,271,0
228,172.16.0.5,988,192.168.50.4,13010,17,60,33333,9033333,60,271,0
229,172.16.0.5,648,192.168.50.4,50066,17,49,40816,11061224,49,271,1
230,172.16.0.5,1007,192.168.50.4,43790,17,61,32786,8885245,61,271,1
231,192.168.50.6,51248,4.2.2.4,53,17,25,80000,6640000,25,83,1
232,192.168.50.8,53177,4.2.2.4,53,17,2,1000000,81000000,2,81,1
233,172.16.0.5,648,192.168.50.4,55534,17,65,30769,8338461,65,271,1
234,172.16.0.5,652,192.168.50.4,36338,17,68,29411,7970588,68,271,0
235,192.168.50.8,55807,4.2.2.4,53,17,5,400000,35600000,5,89,1
236,172.16.0.5,1021,192.168.50.4,56114,17,70,28571,7742857,70,271,0
237,172.16.0.5,571,192.168.50.4,28414,17,36,55555,16055555,36,289,0
238,172.16.0.5,616,192.168.50.4,25785,17,37,54054,14648648,37,271,0
239,192.168.50.8,59927,52.85.89.197,443,6,5090457,3,495,267918,126,1
240,192.168.50.8,59525,4.2.2.4,53,17,47,42553,3446808,47,81,0
241,192.168.50.6,55089,216.58.219.194,443,6,62901,381,40635,2734,106,1
242,172.16.0.5,648,192.168.50.4,6469,17,50,40000,10840000,50,271,1
243,172.16.0.5,949,192.168.50.4,17372,17,70,28571,7742857,70,271,1
244,192.168.50.6,55249,74.208.236.171,80,6,808628,22,3479,47566,156,1
245,172.16.0.5,994,192.168.50.4,42767,17,63,31746,8603174,63,271,0
246,172.16.0.5,1010,192.168.50.4,47911,17,65,30769,8338461,65,271,0
247,192.168.50.8,58602,4.2.2.4,53,17,18,111111,9000000,18,81,1
248,172.16.0.5,1009,192.168.50.4,24617,17,62,32258,8741935,62,271,0
249,172.16.0.5,673,192.168.50.4,236,17,81,24691,6691358,81,271,0
250,192.168.50.8,60550,4.2.2.4,53,17,6,333333,29666666,6,89,1
251,192.168.50.8,55955,4.2.2.4,53,17,4,500000,40500000,4,81,1
252,192.168.50.6,55248,172.217.11.34,80,6,5092085,1,96,727440,61,1
253,192.168.50.6,59759,4.2.2.4,53,17,1,2000000,166000000,1,83,1
254,172.16.0.5,648,192.168.50.4,9891,17,57,35087,9508771,57,271,1
255,172.16.0.5,648,192.168.50.4,57318,17,61,32786,8885245,61,271,1
256,192.168.50.6,55184,172.217.10.34,443,6,7439412,1,493,826601,366,1
257,172.16.0.5,982,192.168.50.4,13720,17,47,42553,11531914,47,271,1
258,52.85.89.197,443,192.168.50.8,59926,6,5047659,2,588,360547,770,1
259,172.16.0.5,600,192.168.50.4,35056,17,62,32258,8741935,62,271,1
260,172.16.0.5,536,192.168.50.4,45295,17,35,57142,15485714,35,271,0
261,172.16.0.5,666,192.168.50.4,39052,17,51,39215,9921568,51,253,0
262,172.16.0.5,648,192.168.50.4,42455,17,56,35714,9678571,56,271,0
263,172.16.0.5,1006,192.168.50.4,45314,17,61,32786,8885245,61,271,1
264,192.168.50.3,0,192.168.50.4,0,1,88999671,5,8,199999,98,0
265,172.16.0.5,1018,192.168.50.4,52936,17,65,30769,8338461,65,271,0
266,172.16.0.5,629,192.168.50.4,36074,17,64,31250,8468750,64,271,1
267,172.16.0.5,849,192.168.50.4,38262,17,40,50000,13550000,40,271,0
268,172.16.0.5,863,192.168.50.4,64664,17,39,51282,13897435,39,271,1
269,192.168.50.8,60681,4.2.2.4,53,17,36,55555,4944444,36,89,0
270,192.168.50.8,51207,4.2.2.4,53,17,47,42553,3617021,47,85,1
271,192.168.50.6,51478,8.8.8.8,53,17,19,105263,7684210,19,73,1
272,172.16.0.5,995,192.168.50.4,9268,17,70,28571,7742857,70,271,1
273,192.168.50.6,64703,8.8.8.8,53,17,5,400000,34800000,5,87,1
274,172.16.0.5,559,192.168.50.4,37964,17,49,40816,11061224,49,271,1
275,172.16.0.5,802,192.168.50.4,51997,17,48,41666,11291666,48,271,0
276,172.16.0.5,648,192.168.50.4,18499,17,83,24096,6530120,83,271,0
277,0.0.0.0,68,255.255.255.255,67,17,0,0,0,0,0,0
278,172.16.0.5,916,192.168.50.4,36279,17,42,47619,13761904,42,289,0
279,172.16.0.5,924,192.168.50.4,48806,17,54,37037,10037037,54,271,0
280,192.168.50.6,55260,74.208.236.171,80,6,5296978,1,92,756711,61,1
281,192.168.50.6,55257,74.208.236.171,80,6,138359,72,9945,15373,137,1
282,172.16.0.5,648,192.168.50.4,58115,17,59,33898,9186440,59,271,1
283,192.168.50.8,63257,4.2.2.4,53,17,19,105263,8526315,19,81,1
284,172.16.0.5,775,192.168.50.4,60821,17,61,32786,8885245,61,271,1
285,192.168.50.6,62606,4.2.2.4,53,17,17,117647,8823529,17,75,1
286,172.16.0.5,945,192.168.50.4,36468,17,66,30303,8212121,66,271,0
287,192.168.50.6,55258,74.208.236.171,80,6,5300785,1,92,757255,61,1
288,172.16.0.5,888,192.168.50.4,5920,17,59,33898,9186440,59,271,0
289,172.16.0.5,648,192.168.50.4,23501,17,60,33333,9033333,60,271,1
290,172.16.0.5,983,192.168.50.4,22700,17,48,41666,11291666,48,271,1
291,172.16.0.5,529,192.168.50.4,39380,17,62,32258,8741935,62,271,1
292,172.16.0.5,648,192.168.50.4,49883,17,40,50000,13550000,40,271,1
293,172.16.0.5,622,192.168.50.4,54843,17,51,39215,10627450,51,271,0
294,192.168.50.8,52947,4.2.2.4,53,17,4,500000,39500000,4,79,1
295,172.16.0.5,648,192.168.50.4,43793,17,61,32786,8885245,61,271,1
296,192.168.50.8,59928,52.85.89.197,443,6,5087208,3,472,299247,133,1
297,192.168.50.6,55254,74.208.236.171,80,6,4,500000,33000000,4,66,1
298,172.16.0.5,913,192.168.50.4,54953,17,56,35714,9035714,56,253,0
299,172.16.0.5,928,192.168.50.4,55285,17,41,48780,13219512,41,271,0
300,172.16.0.5,654,192.168.50.4,952,17,60,33333,9033333,60,271,0
301,172.16.0.5,715,192.168.50.4,45603,17,42,47619,12904761,42,271,0
302,192.168.50.6,49480,4.2.2.4,53,17,2,1000000,73000000,2,73,1
303,172.16.0.5,881,192.168.50.4,37867,17,40,50000,13550000,40,271,1
304,172.16.0.5,648,192.168.50.4,1947,17,58,34482,9344827,58,271,0
305,192.168.50.8,59921,72.167.239.239,80,6,68131,146,21458,7570,146,1
306,172.16.0.5,648,192.168.50.4,10265,17,64,31250,8468750,64,271,0
307,172.16.0.5,648,192.168.50.4,38895,17,86,23255,5883720,86,253,0
308,192.168.50.6,55088,172.217.10.226,443,6,59327,404,43083,2579,106,1
309,172.16.0.5,648,192.168.50.4,8949,17,35,57142,15485714,35,271,0
310,192.168.50.6,52140,4.2.2.4,53,17,5,400000,29600000,5,74,1
311,74.208.236.171,80,192.168.50.6,55249,6,753463,25,5655,41859,902,1
312,172.16.0.5,648,192.168.50.4,42107,17,47,42553,11531914,47,271,1
