STT,SrcIP,SrcPort,DstIP,DstPort,Proto,FlowDuration,FlowPktsPerSec,FlowBytesPerSec,FlowIATMean,PktLenMean,Label_unlabeled,Label
24,172.16.0.5,648,192.168.50.4,21801,17,1913,436027,1045478,1913,271,0,Portmap
25,192.168.50.6,61180,4.2.2.4,53,17,3597,693988,556018,3597,85,0,BENIGN
26,172.16.0.5,526,192.168.50.4,34690,17,3769,221310,530644,3769,271,0,Portmap
27,172.16.0.5,856,192.168.50.4,45194,17,2461,338935,812677,2461,271,0,Portmap
28,172.16.0.5,646,192.168.50.4,55895,17,3023,275924,661594,3023,271,0,Portmap
29,172.16.0.5,844,192.168.50.4,31263,17,3662,1123605,546149,3662,307,0,Portmap
30,192.168.50.8,62859,4.2.2.4,53,17,16752,149013,119388,16752,85,0,BENIGN
31,192.168.50.8,59671,172.217.12.198,443,6,170294050196,0,0,865458467,116,0,BENIGN
32,172.16.0.5,1018,192.168.50.4,22019,17,3130,266492,638977,3130,271,0,Portmap
33,172.16.0.5,648,192.168.50.4,48999,17,4035,206721,495662,4035,271,0,Portmap
34,172.16.0.5,679,192.168.50.4,64283,17,3283,254072,609198,3283,271,0,Portmap
35,172.16.0.5,648,192.168.50.4,7182,17,3212,259688,622665,3212,271,0,Portmap
36,192.168.50.6,55105,23.194.108.16,443,6,115677721452,0,0,2821407840,160,0,BENIGN
37,172.16.0.5,899,192.168.50.4,47262,17,2663,313225,751032,2663,271,0,Portmap
38,192.168.50.8,64119,4.2.2.4,53,17,2409,1281116,830220,2409,81,0,BENIGN
39,172.16.0.5,633,192.168.50.4,31323,17,2523,330606,792707,2523,271,0,Portmap
40,172.16.0.5,724,192.168.50.4,53250,17,3156,264296,633713,3156,271,0,Portmap
41,172.16.0.5,901,192.168.50.4,47249,17,3241,257365,617093,3241,271,0,Portmap
42,172.16.0.5,929,192.168.50.4,27857,17,35277,23644,56694,35277,271,0,Portmap
43,172.16.0.5,970,192.168.50.4,26854,17,2703,308590,739918,2703,271,0,Portmap
44,172.16.0.5,574,192.168.50.4,23416,17,3522,414519,567859,3522,325,0,Portmap
45,192.168.50.8,61075,4.2.2.4,53,17,16503,12198,121190,16503,86,0,BENIGN
46,172.16.0.5,625,192.168.50.4,37162,17,20528,40633,97427,20528,271,0,Portmap
47,172.16.0.5,708,192.168.50.4,38253,17,31223,26714,64055,31223,271,0,Portmap
48,172.16.0.5,767,192.168.50.4,17285,17,2301,362503,869187,2301,271,0,Portmap
49,172.16.0.5,575,192.168.50.4,33258,17,2978,280094,671591,2978,271,0,Portmap
50,192.168.50.6,53758,4.2.2.4,53,17,43129,25185,46372,43129,80,0,BENIGN
51,172.16.0.5,780,192.168.50.4,44499,17,2221,1114084,900495,2221,289,0,Portmap
52,172.16.0.5,568,192.168.50.4,23575,17,2225,1112081,898876,2225,289,0,Portmap
53,192.168.50.8,53237,4.2.2.4,53,17,2714,400224,736919,2714,80,0,BENIGN
54,172.16.0.5,648,192.168.50.4,7433,17,3013,276840,663790,3013,271,0,Portmap
55,192.168.50.6,55038,8.8.8.8,53,17,15056,146208,132837,15056,87,0,BENIGN
56,172.16.0.5,929,192.168.50.4,52722,17,4571,182481,437541,4571,271,0,Portmap
57,172.16.0.5,648,192.168.50.4,60818,17,2347,355398,852151,2347,271,0,Portmap
58,192.168.50.6,63041,4.2.2.4,53,17,42683,58484,46857,42683,85,0,BENIGN
59,172.16.0.5,861,192.168.50.4,60794,17,2994,278597,668002,2994,271,0,Portmap
60,172.16.0.5,648,192.168.50.4,1303,17,3383,246562,591191,3383,271,0,Portmap
61,192.168.50.6,53603,4.2.2.4,53,17,4493,438707,445136,4493,74,0,BENIGN
62,192.168.50.6,55211,4.2.2.4,53,17,4172,598340,479386,4172,85,0,BENIGN
63,172.16.0.5,737,192.168.50.4,29653,17,2737,304757,730727,2737,271,0,Portmap
64,172.16.0.5,733,192.168.50.4,22429,17,3375,247146,592592,3375,271,0,Portmap
65,172.16.0.5,808,192.168.50.4,20263,17,2449,340596,816659,2449,271,0,Portmap
66,192.168.50.8,51941,8.8.8.8,53,17,4346,574384,460193,4346,85,0,BENIGN
67,192.168.50.8,59864,74.208.236.171,80,6,5630819080,0,0,804402725,61,0,BENIGN
68,172.16.0.5,783,192.168.50.4,7799,17,3186,261808,627746,3186,271,0,Portmap
69,192.168.50.6,53442,4.2.2.4,53,17,2252,1501410,888099,2252,79,0,BENIGN
70,192.168.50.6,52223,4.2.2.4,53,17,15059,111305,132810,15059,76,0,BENIGN
71,23.194.177.32,443,192.168.50.8,59647,6,115350680855,0,0,1227134902,997,0,BENIGN
72,172.16.0.5,691,192.168.50.4,46646,17,3440,129504,581395,3440,361,0,Portmap
73,192.168.50.8,59922,172.217.12.130,443,6,297687702,3,13,9020839,157,0,BENIGN
74,192.168.50.8,64607,8.8.8.8,53,17,2993,286005,668225,2993,67,0,BENIGN
75,172.16.0.5,552,192.168.50.4,1344,17,2188,381225,914076,2188,271,0,Portmap
76,172.16.0.5,648,192.168.50.4,58337,17,2750,303316,727272,2750,271,0,Portmap
77,38.91.108.49,443,192.168.50.9,40896,6,11823797983,0,0,124461031,1235,0,BENIGN
78,172.16.0.5,955,192.168.50.4,59283,17,3855,216373,518806,3855,271,0,Portmap
79,172.16.0.5,648,192.168.50.4,7819,17,3152,264632,634517,3152,271,0,Portmap
80,172.16.0.5,648,192.168.50.4,18796,17,57748,20673,34633,57748,254,0,Portmap
81,172.16.0.5,935,192.168.50.4,2022,17,2206,378114,906618,2206,271,0,Portmap
82,172.16.0.5,847,192.168.50.4,10549,17,3515,703949,568990,3515,289,0,Portmap
83,192.168.50.8,57263,4.2.2.4,53,17,2379,84618,840689,2379,86,0,BENIGN
84,192.168.50.6,54332,4.2.2.4,53,17,2828,71183,707213,2828,86,0,BENIGN
85,192.168.50.9,57538,172.217.11.14,80,6,115764259321,0,0,3508007858,92,0,BENIGN
86,172.16.0.5,620,192.168.50.4,48779,17,2243,371877,891662,2243,271,0,Portmap
87,172.16.0.5,648,192.168.50.4,4925,17,3475,240034,575539,3475,271,0,Portmap
88,172.16.0.5,767,192.168.50.4,52524,17,3754,222195,532765,3754,271,0,Portmap
89,192.168.50.6,55250,74.208.236.171,80,6,840631065,2,1,93403451,145,0,BENIGN
90,172.16.0.5,873,192.168.50.4,4324,17,2873,290330,696136,2873,271,0,Portmap
91,172.16.0.5,887,192.168.50.4,24414,17,3144,265305,636132,3144,271,0,Portmap
92,172.16.0.5,754,192.168.50.4,11350,17,3159,264045,633111,3159,271,0,Portmap
93,172.16.0.5,648,192.168.50.4,13760,17,4194,198884,476871,4194,271,0,Portmap
94,172.16.0.5,826,192.168.50.4,4354,17,47162,17686,42407,47162,271,0,Portmap
95,172.16.0.5,1015,192.168.50.4,19844,17,3573,233451,559753,3573,271,0,Portmap
96,192.168.50.9,44292,23.192.125.10,80,6,115538944173,0,0,3501180126,92,0,BENIGN
97,172.16.0.5,869,192.168.50.4,12696,17,3419,243966,584966,3419,271,0,Portmap
98,192.168.50.6,64763,4.2.2.4,53,17,2773,1006578,721240,2773,83,0,BENIGN
99,172.16.0.5,857,192.168.50.4,18513,17,49317,16913,40553,49317,271,0,Portmap
100,192.168.50.6,55141,172.217.11.14,80,6,115889078890,0,0,3511790269,85,0,BENIGN
101,172.16.0.5,796,192.168.50.4,45669,17,3716,224467,538213,3716,271,0,Portmap
102,172.16.0.5,674,192.168.50.4,50455,17,2917,285951,685635,2917,271,0,Portmap
103,172.16.0.5,1010,192.168.50.4,48992,17,2994,278597,668002,2994,271,0,Portmap
104,172.16.0.5,648,192.168.50.4,33088,17,44286,18834,45160,44286,271,0,Portmap
105,172.16.0.5,754,192.168.50.4,19755,17,40713,20487,49124,40713,271,0,Portmap
106,172.16.0.5,648,192.168.50.4,8013,17,3080,1335923,649350,3080,307,0,Portmap
107,192.168.50.8,62925,4.2.2.4,53,17,2171,1285694,921234,2171,83,0,BENIGN
108,172.16.0.5,648,192.168.50.4,23339,17,47168,17684,42401,47168,271,0,Portmap
109,192.168.50.8,51556,4.2.2.4,53,17,4421,906354,452386,4421,133,0,BENIGN
110,172.217.10.66,443,192.168.50.8,59842,6,170405125984,0,0,1581071531,277,0,BENIGN
111,172.16.0.5,734,192.168.50.4,34066,17,3053,273213,655093,3053,271,0,Portmap
112,172.16.0.5,964,192.168.50.4,50038,17,2725,306099,733944,2725,271,0,Portmap
113,172.16.0.5,928,192.168.50.4,48830,17,2975,280376,672268,2975,271,0,Portmap
114,172.217.0.98,443,192.168.50.8,59778,6,112143161,25,18,8010225,375,0,BENIGN
115,172.16.0.5,738,192.168.50.4,22969,17,3189,261561,627155,3189,271,0,Portmap
116,172.16.0.5,648,192.168.50.4,9099,17,30816,27067,64901,30816,271,0,Portmap
117,192.168.50.8,59742,4.2.2.4,53,17,2711,920795,737735,2711,85,0,BENIGN
118,172.16.0.5,648,192.168.50.4,60762,17,1865,447249,1072386,1865,271,0,Portmap
119,172.16.0.5,530,192.168.50.4,6352,17,41302,20195,48423,41302,271,0,Portmap
120,172.16.0.5,49112,192.168.50.4,1078,6,123779410,30,32,41259803,60,0,Portmap
121,172.16.0.5,56106,192.168.50.4,8888,6,4157,970864,481116,4157,60,0,Portmap
122,172.16.0.5,648,192.168.50.4,50744,17,46232,18042,43260,46232,271,0,Portmap
123,172.16.0.5,555,192.168.50.4,18996,17,2996,278411,667556,2996,271,0,Portmap
124,192.168.50.6,54999,192.168.10.50,22,6,9014626705,0,0,1802925341,64,0,BENIGN
125,172.16.0.5,987,192.168.50.4,38630,17,3335,250111,599700,3335,271,0,Portmap
126,192.168.50.6,55176,74.208.236.171,80,6,579729627,4,2,64414403,136,0,BENIGN
127,172.16.0.5,834,192.168.50.4,53359,17,2074,402179,964320,2074,271,0,Portmap
128,192.168.50.8,59618,173.194.204.109,465,6,1894784119,1,0,48584208,127,0,BENIGN
129,172.16.0.5,9584,192.168.50.4,22,6,4812388103,0,0,155238325,155,0,Portmap
130,192.168.50.6,54874,172.217.12.162,443,6,2906,1084301,688231,2906,66,0,BENIGN
131,172.16.0.5,648,192.168.50.4,64208,17,2387,349443,837871,2387,271,0,Portmap
132,172.16.0.5,648,192.168.50.4,32811,17,3545,235294,564174,3545,271,0,Portmap
133,192.168.50.6,65467,8.8.8.8,53,17,8925,404635,224089,8925,92,0,BENIGN
134,172.16.0.5,648,192.168.50.4,7360,17,3283,254072,609198,3283,271,0,Portmap
135,172.16.0.5,648,192.168.50.4,64230,17,3352,248842,596658,3352,271,0,Portmap
136,172.16.0.5,964,192.168.50.4,10255,17,3011,277024,664231,3011,271,0,Portmap
137,172.16.0.5,674,192.168.50.4,51844,17,47582,17530,42032,47582,271,0,Portmap
138,172.16.0.5,17369,192.168.50.4,22,6,10621746335,0,0,303478466,147,0,Portmap
139,172.16.0.5,648,192.168.50.4,60733,17,3168,263295,631313,3168,271,0,Portmap
140,172.16.0.5,648,192.168.50.4,26012,17,2407,346539,830909,2407,271,0,Portmap
141,192.168.50.8,60931,239.255.255.250,1900,17,2409671571779,0,0,2082002284,166,0,BENIGN
142,172.16.0.5,934,192.168.50.4,64755,17,2908,286836,687757,2908,271,0,Portmap
143,172.16.0.5,551,192.168.50.4,39345,17,2565,325193,779727,2565,271,0,Portmap
144,172.16.0.5,666,192.168.50.4,60396,17,19322,43169,103508,19322,271,0,Portmap
145,172.16.0.5,648,192.168.50.4,44404,17,3191,775425,626762,3191,289,0,Portmap
146,192.168.50.6,52451,4.2.2.4,53,17,5585,194487,358102,5585,80,0,BENIGN
147,172.16.0.5,648,192.168.50.4,58087,17,3414,244323,585823,3414,271,0,Portmap
148,192.168.50.6,55183,23.194.142.213,443,6,115267939033,0,0,2811413147,157,0,BENIGN
149,192.168.50.6,61769,4.2.2.4,53,17,3166,788463,631711,3166,85,0,BENIGN
150,172.16.0.5,648,192.168.50.4,63233,17,3021,1154858,662032,3021,253,0,Portmap
151,172.16.0.5,648,192.168.50.4,38099,17,43973,18968,45482,43973,271,0,Portmap
152,172.16.0.5,542,192.168.50.4,7624,17,4068,205044,491642,4068,271,0,Portmap
153,172.16.0.5,648,192.168.50.4,58311,17,4339,192238,460935,4339,271,0,Portmap
154,172.16.0.5,648,192.168.50.4,34318,17,3013,1365630,663790,3013,307,0,Portmap
155,192.168.50.6,63719,4.2.2.4,53,17,18745,14194,106695,18745,71,0,BENIGN
156,192.168.50.6,59330,4.2.2.4,53,17,2320,1556626,862068,2320,92,0,BENIGN
157,172.16.0.5,874,192.168.50.4,25286,17,2756,302656,725689,2756,271,0,Portmap
158,172.16.0.5,657,192.168.50.4,5214,17,3087,270204,647878,3087,271,0,Portmap
159,192.168.50.6,60664,4.2.2.4,53,17,3980,701317,502512,3980,83,0,BENIGN
160,172.16.0.5,648,192.168.50.4,56284,17,3018,1156006,662690,3018,253,0,Portmap
161,172.16.0.5,831,192.168.50.4,12101,17,3411,244538,586338,3411,271,0,Portmap
162,172.16.0.5,984,192.168.50.4,39052,17,3636,229406,550055,3636,271,0,Portmap
163,192.168.50.8,59229,4.2.2.4,53,17,4506,189971,443852,4506,67,0,BENIGN
164,192.168.50.8,55948,4.2.2.4,53,17,2126,927145,940733,2126,74,0,BENIGN
165,172.16.0.5,648,192.168.50.4,12191,17,2880,289625,694444,2880,271,0,Portmap
166,172.16.0.5,648,192.168.50.4,21006,17,3289,253609,608087,3289,271,0,Portmap
167,172.16.0.5,528,192.168.50.4,52414,17,2030,410896,985221,2030,271,0,Portmap
168,172.16.0.5,648,192.168.50.4,56669,17,7995,104330,250156,7995,271,0,Portmap
169,192.168.50.6,61412,4.2.2.4,53,17,2342,813979,853970,2342,89,0,BENIGN
170,172.16.0.5,807,192.168.50.4,17523,17,2758,302436,725163,2758,271,0,Portmap
171,172.16.0.5,609,192.168.50.4,4464,17,2437,1431607,820681,2437,253,0,Portmap
172,172.16.0.5,736,192.168.50.4,38723,17,2184,381923,915750,2184,271,0,Portmap
173,172.16.0.5,571,192.168.50.4,62404,17,3023,275924,661594,3023,271,0,Portmap
174,172.16.0.5,648,192.168.50.4,2102,17,2234,373375,895255,2234,271,0,Portmap
175,172.16.0.5,531,192.168.50.4,49504,17,3029,275378,660283,3029,271,0,Portmap
176,172.16.0.5,648,192.168.50.4,4044,17,2504,333115,798722,2504,271,0,Portmap
177,192.168.50.8,54795,4.2.2.4,53,17,2888,353683,692520,2888,95,0,BENIGN
178,172.16.0.5,595,192.168.50.4,31914,17,4148,201089,482160,4148,271,0,Portmap
179,172.16.0.5,997,192.168.50.4,22727,17,2926,285072,683526,2926,271,0,Portmap
180,172.16.0.5,562,192.168.50.4,6588,17,2711,307680,737735,2711,271,0,Portmap
181,172.16.0.5,648,192.168.50.4,2563,17,2843,293394,703482,2843,271,0,Portmap
182,172.16.0.5,550,192.168.50.4,14571,17,3163,263711,632311,3163,271,0,Portmap
183,172.16.0.5,25693,192.168.50.4,23,6,36087,111837,55421,36087,60,0,Portmap
184,172.16.0.5,933,192.168.50.4,12417,17,3263,255630,612932,3263,271,0,Portmap
185,192.168.50.6,59109,4.2.2.4,53,17,5722,487808,349528,5722,83,0,BENIGN
186,192.168.50.6,55030,172.217.10.66,443,6,151222185733,0,0,1753920133,128,0,BENIGN
187,172.16.0.5,648,192.168.50.4,42952,17,44023,18947,45430,44023,271,0,Portmap
188,172.16.0.5,988,192.168.50.4,20274,17,3223,258802,620539,3223,271,0,Portmap
189,172.16.0.5,648,192.168.50.4,57790,17,4325,192860,462427,4325,271,0,Portmap
190,172.16.0.5,648,192.168.50.4,45887,17,3263,1069208,612932,3263,253,0,Portmap
191,172.16.0.5,648,192.168.50.4,1257,17,3528,236428,566893,3528,271,0,Portmap
192,172.16.0.5,648,192.168.50.4,51977,17,4727,176458,423101,4727,271,0,Portmap
193,172.16.0.5,785,192.168.50.4,63850,17,3081,270730,649139,3081,271,0,Portmap
194,192.168.50.6,52780,4.2.2.4,53,17,17850,172896,112044,17850,81,0,BENIGN
195,172.16.0.5,740,192.168.50.4,25871,17,3735,223325,535475,3735,271,0,Portmap
196,172.16.0.5,590,192.168.50.4,56098,17,4078,204541,490436,4078,271,0,Portmap
197,172.16.0.5,567,192.168.50.4,9849,17,41256,20218,48477,41256,271,0,Portmap
198,172.16.0.5,842,192.168.50.4,36944,17,4511,184908,443360,4511,271,0,Portmap
199,172.16.0.5,648,192.168.50.4,24727,17,2932,284488,682128,2932,271,0,Portmap
200,192.168.50.6,58032,4.2.2.4,53,17,125913484027,0,0,3316455678,77,0,BENIGN
201,172.16.0.5,665,192.168.50.4,42584,17,2227,1566603,898069,2227,253,0,Portmap
202,172.16.0.5,660,192.168.50.4,48625,17,3309,252076,604412,3309,271,0,Portmap
203,172.16.0.5,648,192.168.50.4,28743,17,2825,295263,707964,2825,271,0,Portmap
204,172.16.0.5,964,192.168.50.4,55733,17,3164,263628,632111,3164,271,0,Portmap
205,172.16.0.5,648,192.168.50.4,64441,17,4429,188331,451569,4429,271,0,Portmap
206,192.168.50.6,61997,4.2.2.4,53,17,18969,224897,105435,18969,73,0,BENIGN
207,172.16.0.5,989,192.168.50.4,9313,17,45803,54022,43665,45803,289,0,Portmap
208,172.16.0.5,1001,192.168.50.4,28211,17,3377,247000,592241,3377,271,0,Portmap
209,172.16.0.5,959,192.168.50.4,49373,17,3390,246053,589970,3390,271,0,Portmap
210,192.168.50.9,45580,151.101.22.2,443,6,170735390728,0,0,2057052900,174,0,BENIGN
211,192.168.50.8,58947,4.2.2.4,53,17,5458,649798,366434,5458,107,0,BENIGN
212,172.16.0.5,648,192.168.50.4,12349,17,2647,315119,755572,2647,271,0,Portmap
213,172.16.0.5,613,192.168.50.4,56030,17,3197,1091281,625586,3197,253,0,Portmap
214,172.16.0.5,690,192.168.50.4,36694,17,3221,258963,620925,3221,271,0,Portmap
215,172.16.0.5,648,192.168.50.4,40167,17,3615,230738,553250,3615,271,0,Portmap
216,172.16.0.5,648,192.168.50.4,5280,17,3328,1048325,600961,3328,253,0,Portmap
217,192.168.50.6,55027,74.208.236.171,80,6,5345968443,0,0,763709777,61,0,BENIGN
218,172.16.0.5,906,192.168.50.4,48613,17,4672,178536,428082,4672,271,0,Portmap
219,172.16.0.5,613,192.168.50.4,54477,17,4310,809472,464037,4310,253,0,Portmap
220,192.168.50.6,54247,4.2.2.4,53,17,26360,105889,75872,26360,83,0,BENIGN
221,192.168.50.8,59839,172.217.12.202,443,6,170517872276,0,0,576971911,113,0,BENIGN
222,192.168.50.8,55292,4.2.2.4,53,17,22394,22161,89309,22394,84,0,BENIGN
223,192.168.50.6,55241,74.208.236.171,80,6,15145204623,0,0,1165015740,103,0,BENIGN
224,172.16.0.5,648,192.168.50.4,7989,17,2763,301889,723850,2763,271,0,Portmap
225,172.16.0.5,750,192.168.50.4,7363,17,3231,258161,619003,3231,271,0,Portmap
226,172.16.0.5,899,192.168.50.4,64290,17,2979,830608,671366,2979,289,0,Portmap
227,172.16.0.5,795,192.168.50.4,50162,17,2696,309391,741839,2696,271,0,Portmap
228,172.16.0.5,512,192.168.50.4,4375,17,36435,22893,54892,36435,271,0,Portmap
229,172.16.0.5,648,192.168.50.4,12699,17,2296,363292,871080,2296,271,0,Portmap
230,192.168.50.6,55212,23.206.193.17,443,6,170166317675,0,0,1194268758,121,0,BENIGN
231,172.16.0.5,648,192.168.50.4,37549,17,39603,21062,50501,39603,271,0,Portmap
232,192.168.50.6,55466,4.2.2.4,53,17,5347,466855,374041,5347,85,0,BENIGN
233,192.168.50.6,51528,4.2.2.4,53,17,3515,710177,568990,3515,85,0,BENIGN
234,192.168.50.6,63408,4.2.2.4,53,17,2029368739324,0,0,2147011071,79,0,BENIGN
235,172.16.0.5,648,192.168.50.4,60075,17,3729,663551,536336,3729,289,0,Portmap
236,172.16.0.5,949,192.168.50.4,17372,17,4770,174868,419287,4770,271,0,Portmap
237,172.16.0.5,648,192.168.50.4,28255,17,82673,10089,24191,82673,271,0,Portmap
238,172.16.0.5,924,192.168.50.4,64084,17,44921,18568,44522,44921,271,0,Portmap
239,172.16.0.5,562,192.168.50.4,16360,17,2937,842486,680966,2937,289,0,Portmap
240,172.16.0.5,27559,192.168.50.4,22,6,17123903008,0,0,552383968,156,0,Portmap
241,172.16.0.5,532,192.168.50.4,23003,17,2920,847391,684931,2920,289,0,Portmap
242,172.16.0.5,648,192.168.50.4,59594,17,2930,284682,682593,2930,271,0,Portmap
243,172.16.0.5,787,192.168.50.4,35978,17,2950,282752,677966,2950,271,0,Portmap
244,172.16.0.5,1021,192.168.50.4,56114,17,2124,392712,941619,2124,271,0,Portmap
245,172.16.0.5,936,192.168.50.4,58896,17,2160,386166,925925,2160,271,0,Portmap
246,172.16.0.5,518,192.168.50.4,8727,17,2919,285755,685166,2919,271,0,Portmap
247,192.168.50.8,53710,8.8.8.8,53,17,28209,30345,70899,28209,67,0,BENIGN
248,52.85.90.206,443,192.168.50.6,55125,6,170603415553,0,0,2529169326,317,0,BENIGN
249,172.16.0.5,711,192.168.50.4,49163,17,3740,1100172,534759,3740,307,0,Portmap
250,192.168.50.8,64854,4.2.2.4,53,17,2675,847132,747663,2675,72,0,BENIGN
251,172.16.0.5,974,192.168.50.4,14367,17,56645,61591,35307,56645,253,0,Portmap
252,172.16.0.5,954,192.168.50.4,55718,17,1994,1749662,1003009,1994,253,0,Portmap
253,172.16.0.5,648,192.168.50.4,64673,17,3096,269418,645994,3096,271,0,Portmap
254,172.16.0.5,828,192.168.50.4,28881,17,42359,19691,47215,42359,271,0,Portmap
255,172.16.0.5,705,192.168.50.4,42378,17,46409,17973,43095,46409,271,0,Portmap
256,172.16.0.5,693,192.168.50.4,23400,17,3292,253378,607533,3292,271,0,Portmap
257,172.16.0.5,648,192.168.50.4,30346,17,3111,268119,642880,3111,271,0,Portmap
258,192.168.50.8,54153,8.8.8.8,53,17,3019,359791,662471,3019,80,0,BENIGN
259,192.168.50.6,60072,4.2.2.4,53,17,26471,74463,75554,26471,74,0,BENIGN
260,172.16.0.5,963,192.168.50.4,32639,17,2720,438918,735294,2720,254,0,Portmap
261,172.16.0.5,690,192.168.50.4,58727,17,2290,364244,873362,2290,271,0,Portmap
262,172.16.0.5,692,192.168.50.4,16099,17,3099,269158,645369,3099,271,0,Portmap
263,172.16.0.5,594,192.168.50.4,8865,17,2544,327877,786163,2544,271,0,Portmap
264,192.168.50.8,64710,4.2.2.4,53,17,2951,645998,677736,2951,89,0,BENIGN
265,192.168.50.6,54968,65.55.252.93,443,6,9012606680,0,0,1802521336,64,0,BENIGN
266,192.168.50.8,59814,69.172.216.111,443,6,10389555873,0,0,519477793,441,0,BENIGN
267,172.16.0.5,562,192.168.50.4,20139,17,3708,224951,539374,3708,271,0,Portmap
268,172.16.0.5,557,192.168.50.4,52105,17,49619,70312,40307,49619,253,0,Portmap
269,172.16.0.5,851,192.168.50.4,39673,17,46414,17971,43090,46414,271,0,Portmap
270,172.16.0.5,881,192.168.50.4,45688,17,4558,183001,438788,4558,271,0,Portmap
271,192.168.50.6,54256,4.2.2.4,53,17,22568,8920,88621,22568,86,0,BENIGN
272,172.16.0.5,629,192.168.50.4,22304,17,4076,204641,490677,4076,271,0,Portmap
273,172.16.0.5,648,192.168.50.4,46409,17,3201,260581,624804,3201,271,0,Portmap
274,172.16.0.5,701,192.168.50.4,8091,17,3191,261397,626762,3191,271,0,Portmap
275,192.168.50.6,55107,23.192.125.97,80,6,115668233011,0,0,3505097970,85,0,BENIGN
276,172.16.0.5,648,192.168.50.4,49794,17,2564,325320,780031,2564,271,0,Portmap
277,192.168.50.9,39616,192.243.250.58,443,6,15533518111,0,0,647229921,278,0,BENIGN
278,172.16.0.5,603,192.168.50.4,55133,17,2184,1597447,915750,2184,253,0,Portmap
279,172.16.0.5,648,192.168.50.4,43244,17,2456,339625,814332,2456,271,0,Portmap
280,192.168.50.6,57209,4.2.2.4,53,17,2566,972827,779423,2566,85,0,BENIGN
281,192.168.50.6,55163,74.208.236.171,80,6,2496,1262412,801282,2496,66,0,BENIGN
282,172.16.0.5,855,192.168.50.4,29259,17,2664,313108,750750,2664,271,0,Portmap
283,172.16.0.5,867,192.168.50.4,62551,17,4514,772890,443066,4514,253,0,Portmap
284,192.168.50.6,62617,4.2.2.4,53,17,2658,828182,752445,2658,87,0,BENIGN
285,192.168.50.6,62005,4.2.2.4,53,17,13255,193213,150886,13255,70,0,BENIGN
286,172.16.0.5,692,192.168.50.4,61041,17,3083,270554,648718,3083,271,0,Portmap
287,172.16.0.5,648,192.168.50.4,60040,17,2468,337974,810372,2468,271,0,Portmap
288,172.16.0.5,830,192.168.50.4,55141,17,3001,1162554,666444,3001,253,0,Portmap
289,192.168.50.7,57173,224.0.0.252,5355,17,418598228,7,4,83719645,75,0,BENIGN
290,172.16.0.5,648,192.168.50.4,41900,17,2938,283907,680735,2938,271,0,Portmap
291,192.168.50.9,50260,72.21.91.29,80,6,174928145583,0,0,1841348900,102,0,BENIGN
292,192.168.50.9,34102,52.85.93.127,80,6,118462520672,0,0,2889329772,130,0,BENIGN
293,172.16.0.5,937,192.168.50.4,24020,17,3146,265136,635727,3146,271,0,Portmap
294,172.16.0.5,899,192.168.50.4,56817,17,3159,264045,633111,3159,271,0,Portmap
295,192.168.50.6,61149,4.2.2.4,53,17,4478,191159,446627,4478,67,0,BENIGN
296,192.168.50.6,55093,172.217.3.97,443,6,234813984,15,12,12358630,141,0,BENIGN
